RowID,Regime0,RegimeNew,IceMultiplier,SalinityAnomaly,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio
11,open,open,1,0,-0.062,28.28,28.28,0,0,10.695,0.0870419246788579,0.101,0.814446547287519,1.26715242017232,1.21,8.79779241074531,0.000187448225455981,0.159533777035533,0.364096768441213,0.144090355570424,0.218639692307807,0.00421192216274099,0.00288056012908312,0.100796474408002,0.091979810216391,0.0567090163931162,0.000232655136379716,0.00366185163059098,0.000322871861065714,0.00273697795232413,0.0339597559794724,0.00036,0.000525605355223255
12,open,open,1,0,-0.404,28.753,28.753,0,0,9.735,0.0958021116510729,0.113,0.776557694604418,1.26117144658808,1.18,8.9999754099301,0.000163022748231554,0.152112109160325,0.353362632766462,0.170424597898317,0.182253696505645,0.00438078267050955,0.00273298300192352,0.118220113052225,0.0956673801328038,0.0538036947374955,0.000248407977985004,0.00398683841612692,0.000358834260214601,0.00271608185951886,0.0313395009466594,0.00036,0.000584148795698188
13,open,open,1,0,-0.428,28.732,28.732,0,0,9.983,0.0956869686950961,0.123,0.780869624189376,1.26952719883115,1.179,9.09489417617458,0.0001726803098137,0.152956729860468,0.368358816410894,0.174484663857686,0.193160444469297,0.00442375156444384,0.00277139775873479,0.121539885884404,0.0966057333493581,0.0545599584418193,0.000245923936100254,0.0039469243950613,0.000360972463733032,0.0026971660851197,0.0312414319106772,0.00036,0.000587629592123541
14,open,open,1,0,-0.414,28.71,28.71,0.0058,0.0058,10.676,0.0959780643926446,0.115,0.790054494476036,1.29540284920825,1.17,9.40197493068423,0.000201901492072034,0.154755862109592,0.41476768267657,0.188495388433102,0.225522343532069,0.00456961385605828,0.00287535863450194,0.132932634490401,0.0997910690184513,0.0566066156001266,0.000230758916462135,0.00374999353649825,0.00036902605005424,0.00253903580562114,0.0299033352826345,0.00036,0.000600740081483647
15,open,open,1,0,-0.452,28.81,28.81,0.0657,0.0657,10.31,0.0980494763455429,0.12,0.779738966820191,1.27677242606543,1.169,9.38091423008712,0.000182290270076994,0.15273525671255,0.381016208925554,0.178916071332891,0.201529001829786,0.00457525858688256,0.00282180908073432,0.129323460790175,0.0999143384545613,0.0555523961475305,0.000214467366622703,0.00353073695740165,0.000365922359734162,0.00232584988913257,0.027256163394735,0.00036,0.000595687562357938
16,open,open,1,0,-0.472,28.784,28.784,0.042,0.042,11.722,0.0989475020970989,0.119,0.797896713288952,1.33946830033775,1.17,10.0239930265649,0.000252076921504128,0.156291995808888,0.493662068621905,0.215626991062412,0.277429243655376,0.00488448885656756,0.00302833713799204,0.156188362486088,0.106667298366878,0.0596182730811233,0.000201818980031933,0.00337236164300674,0.000389204203715246,0.00219682392195596,0.0262461821802727,0.00036,0.000633588238606214
17,open,open,1,0,-0.518,28.787,28.787,0.0984,0.0984,12.238,0.100143525742741,0.123,0.802992407522166,1.35024751655596,1.17,10.2722795041552,0.000270563957019053,0.157290140316161,0.51271089689686,0.216175585511069,0.295986380090611,0.00500599552365493,0.00310179913693412,0.160822201605094,0.109320756751648,0.0610645048956294,0.00018309816162862,0.00308633970082161,0.000389124634041676,0.00199218790126215,0.023997359923472,0.00036,0.000633458706579473
18,ice,ice,1,0,-0.622,29.032,29.032,0.2682,0.2682,11.582,0.106314163517463,0.128,0.76878794783269,1.30064958511162,1.172,11.5243784,0.0002013912071645,0.150590171283331,0.42280331029179,0.209258385815609,0.213443065225838,0.00566397967543727,0.00333809275834432,0.153785244731281,0.123689791854364,0.0657163705917658,0.000134351474722084,0.00233296757427182,0.000414583193941882,0.00141392438525401,0.0169407870897755,0.00036,0.000674902873858878
19,open,open,1,0,-0.574,29.024,29.024,0.0821,0.0821,11.67,0.104083227164288,0.118,0.788055172136307,1.34727543614927,1.179,10.4399398618642,0.000256246452908051,0.154364234880732,0.507462634646825,0.232534078655246,0.27474181123751,0.00512958798738148,0.00302817396075497,0.17124811789112,0.112019764691136,0.0596150606431955,0.00017639566778887,0.00307495151998188,0.000410427643607289,0.00185830391245942,0.0223724271064952,0.00036,0.000668138024476983
20,ice,ice,1,0,-0.639,29.073,29.073,0.3206,0.3206,10.923,0.107519283142814,0.13,0.755037130915887,1.26677415297679,1.179,11.6692601,0.000163653165386563,0.147896661479198,0.361730874280293,0.189378907261148,0.172356214221982,0.00574328528794365,0.00335603237943529,0.136101061031848,0.125421665071766,0.0660695443569174,0.00011411704438273,0.00204870407382889,0.000405100305963216,0.00119477052592339,0.0147322487246862,0.00036,0.000659465614358723
21,ice,ice,1,0,-0.696,29.076,29.076,0.3917,0.3917,9.585,0.108405892017441,0.132,0.732180107579644,1.20986983812568,1.176,11.6798612,0.000105181792537736,0.14341942810303,0.25922978494268,0.14904982987026,0.110259729873315,0.00574909603406995,0.00335732161073483,0.0993676457387387,0.125548559944287,0.0660949251980121,9.92976571913589e-05,0.00180485703401794,0.00038501194521272,0.00103922707558879,0.0129697200727175,0.00036,0.000626763631741638
22,ice,ice,1,0,-0.692,29.291,29.291,0.4925,0.4925,10.108,0.117133410003999,0.129,0.738475391152842,1.2165115952584,1.166,12.4396067,0.000118108070113147,0.144652548151592,0.270619423444222,0.153410040211844,0.118110754387746,0.00616833667090557,0.00344139926070249,0.107900992799918,0.134703922441785,0.0677501452304538,7.92254043284915e-05,0.0014637984338442,0.00038715208370576,0.000808673586004109,0.0100687653999665,0.00036,0.000630247578125656
23,ice,ice,1,0,-0.643,29.719,29.719,0.4289,0.4289,10.268,0.124135949398395,0.12,0.735932931411511,1.25416362374861,1.153,13.9520303,0.000144457984022729,0.14415453117694,0.338528703899805,0.201455583271741,0.138868218082021,0.00701938113256845,0.0035599364460576,0.133790729028476,0.153289001900737,0.0700837633068923,8.08274749639571e-05,0.00152884671362385,0.00048289597837547,0.00079439610927125,0.0102986082620753,0.00036,0.000786109732239137
24,ice,ice,1,0,-0.664,29.884,29.884,0.4599,0.4599,8.633,0.128097920444248,0.135,0.721406973980392,1.20038369282553,1.145,14.5350908,8.90699085027032e-05,0.141309186860899,0.241845997586767,0.160492834214558,0.0836722062174971,0.00735332393233495,0.00358827122521405,0.0888935799635642,0.160581633188507,0.0706415844887712,7.1822597164458e-05,0.00138521811774006,0.000497310910185353,0.000698983143676906,0.00969347835067028,0.00036,0.000809575900301738
25,ice,ice,1,0,-0.674,29.97,29.97,0.4796,0.4796,7.134,0.132659712829156,0.144,0.714689556335636,1.16024433223379,1.137,14.838989,5.1343358566847e-05,0.139993379196956,0.169703671885703,0.125636934544284,0.0469369084950382,0.00752867027307204,0.00359920913773106,0.0529479989746065,0.164410840500505,0.070856917004823,6.551807491752e-05,0.0012876002392745,0.000500822688344133,0.000635078131892671,0.0092134521684107,0.00036,0.000815292748467193
26,ice,ice,1,0,-0.659,29.912,29.912,0.3382,0.3382,8.166,0.12446933291043,0.133,0.710300633931775,1.20659609808113,1.145,14.6340344,8.33595323995582e-05,0.139133677144641,0.253635878197284,0.175619156734801,0.0799802994340537,0.0074103162885951,0.00359212059101259,0.0877747743135046,0.161826230289319,0.0707173661903815,8.02472740658709e-05,0.00159641053162146,0.000545061792748179,0.000779888029677215,0.0112507481517404,0.00036,0.000887309895171455
27,ice,ice,1,0,-0.706,29.946,29.946,0.5303,0.5303,7.303,0.134935152894647,0.128,0.716712160428662,1.15738956078114,1.131,14.7541802,5.2450040861671e-05,0.14038956685529,0.164313388368113,0.120111464115488,0.0472887351657835,0.00747964739623091,0.00359642074829024,0.0535644355183991,0.163340280615045,0.0708020225345033,5.59871268639975e-05,0.00112727875047533,0.000467425170171048,0.000543257136361435,0.00801497073903133,0.00036,0.000760924695627288
28,ice,ice,1,0,-0.557,30.083,30.083,0.6666,0.6666,6.711,0.147698009008035,0.159,0.739561178060094,1.12936561453644,1.14,15.2382971,3.86668243407517e-05,0.144865232074124,0.113301208796832,0.0857707461558612,0.0321332578227973,0.00776041241398584,0.00360959064232896,0.0351174738532917,0.16947161734224,0.0710612956284397,3.86559869894569e-05,0.000790052744511632,0.000406728366060298,0.000373181192743607,0.00583491988570382,0.00036,0.000662115944749322
29,ice,ice,1,0,-0.553,30.759,30.759,0.7139,0.7139,2.476,0.19044305676561,0.141,0.859868626140438,1.07672097205199,1.149,17.6270783,3.19023316407409e-06,0.168431053135905,0.0185702488884254,0.0275051389683275,0.00189719685537017,0.00917867023373585,0.00357704845530951,0.000998590819511038,0.200443482457057,0.0704206440417841,2.35667474644045e-05,0.000538996879875962,0.000446071941577292,0.000228824988853169,0.00503976241443327,0.00036,0.000726163625823499
30,ice,ice,1,0,-0.531,30.494,30.494,0.749,0.749,2.213,0.194141250248638,0.156,0.842837636120197,1.07391649676331,1.152,16.6906478,1.68429484928106e-06,0.165095023075206,0.0133523205488947,0.0230098557890576,0.000967192077413759,0.00861618093161816,0.00360913275888949,0.000669122636699913,0.18815986057173,0.0710522813679101,2.09615678538764e-05,0.000484910444622525,0.000375471539634053,0.000201798427769443,0.00409831806347258,0.00036,0.000611232738939156
31,ice,ice,1,0,-0.692,30.447,30.447,0.8261,0.8261,1.922,0.197230769109064,0.159,0.835365463994685,1.07064175331748,1.153,16.5245639,9.96927240217685e-07,0.163631374115293,0.00706938942454921,0.0173826335759314,0.000555447384870501,0.00851729589970145,0.00361222099994919,0.000432904118860074,0.186000412671814,0.071113078957626,1.46830165355481e-05,0.000344939469642661,0.000289874469584082,0.000141261496708089,0.00286662522841568,0.00036,0.000471888671415948
32,ice,ice,1,0,-0.639,30.121,30.121,0.7247,0.7247,3.424,0.179068842709453,0.162,0.78272518461974,1.08396439028503,1.155,15.3725777,4.99327571973885e-06,0.153320197008754,0.0315132812375369,0.0363026225174625,0.0032834674262532,0.00783868665487609,0.00361206353783681,0.003468645915795,0.171180967502034,0.0711099790322254,2.22725311538885e-05,0.000527810140597384,0.000345202084549224,0.000214790613594737,0.00394206147877167,0.00036,0.000561956881824318
33,ice,ice,1,0,-0.619,30.007,30.007,0.7524,0.7524,4.146,0.172147089106533,0.17,0.759044362795948,1.08851816345823,1.141,14.9697359,8.17550736198447e-06,0.148681597997638,0.0395402419269377,0.0409565824453004,0.00568891570251795,0.00760438222520301,0.00360310739154816,0.00663702820912224,0.166064235487175,0.0709336611551659,1.97704626409728e-05,0.000474945240816487,0.000308292396844858,0.000191354919359263,0.00343288226513982,0.00036,0.000501871343700932
34,ice,ice,1,0,-0.624,29.948,29.948,0.7841,0.7841,6.587,0.159764938967312,0.175,0.747606918124015,1.11038202674379,1.139,14.7612476,3.10485102045019e-05,0.146441231512906,0.0786128115788235,0.0605781797162168,0.0237306970208651,0.0074837300038241,0.00359666092204439,0.0269626034349851,0.163429436458174,0.0708067507876036,1.71112932322975e-05,0.000415623572446996,0.000275091916624332,0.000166020406577072,0.00295664825858708,0.00036,0.000447824050318679
35,ice,ice,1,0,-0.474,29.88,29.88,0.886,0.886,6.972,0.169423838238881,0.149,0.784427110277352,1.095132371581,1.136,14.520956,3.24325808276308e-05,0.153653570180139,0.0507078426433372,0.0342413748031559,0.0230565055323001,0.00734518982429986,0.00358769860172724,0.0222566491526659,0.160404000819142,0.0706303113636686,9.96271446810374e-06,0.000242788069055526,0.000176430735097917,9.69778227222571e-05,0.0016972882790819,0.00036,0.000287212824578004
36,ice,ice,1,0,-0.462,29.772,29.772,0.8792,0.8792,6.844,0.165813776982797,0.156,0.772925598343846,1.09494686666246,1.13,14.1393164,2.96654198572451e-05,0.151400654201205,0.0504106963420375,0.0347661775834726,0.0216814444672089,0.00712629250754868,0.00357009128636003,0.0220456928524354,0.155623728802304,0.0702836796354444,1.05753314392284e-05,0.000257336603366194,0.000176029514760831,0.000103578118294345,0.00175359367542466,0.00036,0.000286559675192051
37,ice,ice,1,0,-0.678,30.229,30.229,0.774,0.774,6.868,0.164691472498155,0.134,0.766210715338294,1.1181426349822,1.127,15.7542173,4.10334477865823e-05,0.150085343022349,0.0925940287723758,0.0690405110700163,0.0302445732157316,0.00806209355142145,0.00361629367558025,0.0318569213932986,0.176059719566127,0.0711932569156538,1.62902272371279e-05,0.00040551346198177,0.000309851643619839,0.000156766109993412,0.00313130997502871,0.00036,0.000504409652404388
38,ice,ice,1,0,-0.404,30.77,30.77,0.7667,0.7667,7.241,0.177172404073309,0.087,0.818604819334112,1.13207308219105,1.119,17.665949,7.65069105861894e-05,0.160348299299448,0.11763360721441,0.0757341994459906,0.0511114638273588,0.00920220046418298,0.00357517790427735,0.0395661334198046,0.200957334814068,0.070383818874319,1.46406667683294e-05,0.000375548309215058,0.00037522960761781,0.000142231685269828,0.00352697610670925,0.00036,0.000610838896122016
39,ice,ice,1,0,-0.554,30.937,30.937,0.7006,0.7006,8.011,0.17730703100576,0.152,0.841707340854452,1.16779392076985,1.123,18.2560769,0.000142170547094776,0.164873620856104,0.182090109657156,0.0968086744912372,0.0948731073536877,0.00956121039687533,0.0035415045468047,0.057275329358979,0.208797381281915,0.0697208981591262,1.71593157647623e-05,0.000447997662217461,0.000458422066728831,0.000168351985634968,0.00450706121587182,0.00036,0.000746268480721354
40,ice,ice,1,0,-0.39,31.104,31.104,0.8334,0.8334,6.007,0.199899690068729,0.155,0.871642056273294,1.10439473529995,1.128,18.8462048,7.48617702471253e-05,0.170737232447505,0.0676079181532672,0.0399432680359696,0.0406052315779995,0.00992355705011527,0.00349793317100592,0.019072444426554,0.216710294937438,0.0688631171187317,9.51113479987253e-06,0.000252727984199698,0.000329039127329758,9.50676406898982e-05,0.00274610345615995,0.00036,0.000535645091001931
41,ice,ice,1,0,-0.67,31.002,31.002,0.6199,0.6199,5.029,0.17786846862508,0.164,0.824790684924992,1.11740604906281,1.126,18.4857674,4.30319477390011e-05,0.161559986555332,0.0920829495823804,0.0733079007619423,0.0285824555466722,0.00970184690920293,0.00352572214680669,0.0209373910918188,0.211868596564053,0.0694101931781145,1.98808143165487e-05,0.000531626732973161,0.000533410010388465,0.000195999048791406,0.00549931226680564,0.00036,0.000868341877376571
42,ice,ice,1,0,-0.651,31.005,31.005,0.6199,0.6199,5.322,0.176896067152686,0.171,0.824414347044988,1.12313159759674,1.127,18.4963685,5.12279777846507e-05,0.161486269497241,0.102358670401087,0.0777449366888995,0.0343018054336781,0.00970835002873125,0.00352495752776906,0.025020585320255,0.212010611462933,0.0693951402746525,1.98393897336641e-05,0.000530832508569325,0.000533873529368996,0.000195667059923442,0.00549894853572074,0.00036,0.000869096443158831
43,ice,ice,1,0,-0.656,31.007,31.007,0.6199,0.6199,6.559,0.174687750949072,0.162,0.830656644017697,1.15075871398705,1.125,18.5034359,9.63402664055091e-05,0.162709010531321,0.151941436728203,0.0956627553907221,0.0656849057829892,0.00971268603996457,0.00352444600720592,0.0440789638798944,0.212105301125972,0.0693850700706989,1.98231449592819e-05,0.000530496616455132,0.000534139935711249,0.000195557852160531,0.00550070988086246,0.00036,0.000869530127902033
44,ice,ice,1,0,-0.657,31.013,31.013,0.609,0.609,8.834,0.17484414233295,0.174,0.857383360480393,1.22147503323289,1.134,18.5246381,0.000240531822092906,0.167944239337008,0.278914345270319,0.124566868511532,0.163786888969304,0.00972569694509391,0.00352290292773387,0.0782474654359193,0.212389432821264,0.0693546917709395,2.02838532788646e-05,0.000543300895031615,0.000543783936190153,0.000200259931758674,0.00564962643062512,0.00036,0.000885229663565365
45,ice,ice,1,0,-0.644,31.013,31.013,0.609,0.609,10.544,0.177299864288468,0.174,0.876946868516027,1.28798134180315,1.125,18.5246381,0.000408489034392814,0.171776338987236,0.398274133332559,0.135423522821187,0.272608680519953,0.00972569694509391,0.00352290292773387,0.0933497711475602,0.212389432821264,0.0693546917709395,2.02584483882268e-05,0.000542866763476264,0.000543745048647076,0.000200009112469286,0.00564511202409292,0.00036,0.000885166358262681
46,ice,ice,1,0,-0.646,31.013,31.013,0.609,0.609,10.055,0.176505471367247,0.167,0.871614330581074,1.26768209895779,1.123,18.5246381,0.000354317888683322,0.170731801539343,0.361842802592148,0.133484439773719,0.23801335132851,0.00972569694509391,0.00352290292773387,0.0903177487198857,0.212389432821264,0.0693546917709395,2.02175370804441e-05,0.000542166762924631,0.000543561649766557,0.000199605200274099,0.00563783292395868,0.00036,0.000884867801945558
47,ice,ice,1,0,-0.658,31.012,31.012,0.609,0.609,10.723,0.17768354993825,0.167,0.878643207257262,1.29564690629442,1.126,18.5211044,0.000429309171284064,0.172108617793527,0.412031627512059,0.13624483331222,0.285592432521231,0.00972352816179846,0.00352316099491491,0.0945048250716015,0.212342071006822,0.0693597722883889,2.0166433752685e-05,0.000541320690044252,0.000543098544691012,0.000199074568754543,0.00562634824136347,0.00036,0.000884113909962112
48,ice,ice,1,0,-0.678,31.015,31.015,0.6242,0.6242,10.419,0.178795712240486,0.174,0.876963998111919,1.27692938578999,1.128,18.5317055,0.000392171320313729,0.171779694332213,0.378359052503574,0.129840310112348,0.258475406568041,0.00973003487061347,0.00352238572864898,0.0895875385794171,0.21248416428842,0.0693445097750536,1.93993684820255e-05,0.000521001273503471,0.00053099750676706,0.000191577795488069,0.00542291642318635,0.00036,0.000864414545899864
49,ice,ice,1,0,-0.677,31.033,31.033,0.6242,0.6242,9.488,0.178567038971009,0.166,0.870193453407889,1.24214218092223,1.135,18.5953121,0.000308020410570372,0.170453480140724,0.315925976761491,0.122491324280026,0.203401998007561,0.00976909773600964,0.00351766705351521,0.0806814569541576,0.213337217789131,0.06925161415284,1.92631606404559e-05,0.000518140683465012,0.000533643025544939,0.000190685897414843,0.00543982019727545,0.00036,0.000868721204375481
50,ice,ice,1,0,-0.814,30.948,30.948,0.6494,0.6494,9.42,0.176041208806788,0.169,0.856285114258682,1.2247747583284,1.123,18.2949476,0.000251409052566434,0.167729114884153,0.284623820582624,0.1245476828895,0.169529601901927,0.00958497488810026,0.00353893908667281,0.0831519222373892,0.209316349417673,0.0696703924539314,1.8279980103765e-05,0.000491568706512276,0.000498149488977733,0.000179484318566688,0.00496848764752612,0.00036,0.000810941028568402
51,ice,ice,1,0,-0.732,31.047,31.047,0.748,0.748,8.618,0.191129807192793,0.18,0.87581492957036,1.17413853138076,1.115,18.6447839,0.000215630186251731,0.171554614804136,0.193227448603874,0.0774521788977611,0.127414152705612,0.00979950676465837,0.00351391747355105,0.0504843178652898,0.214001289102869,0.0691777969151757,1.35649096330278e-05,0.000362665607191722,0.000420584801851647,0.000134530646079455,0.0038332389100689,0.00036,0.000684672933246866
52,ice,ice,1,0,-0.55,31.057,31.057,0.8252,0.8252,9.551,0.203206268448143,0.169,0.897151690022639,1.16667887565723,1.129,18.6801209,0.000274913921700178,0.1757340591102,0.179433271566064,0.0485889544348024,0.144088019625556,0.00982124185655421,0.00351119661323491,0.0353446126573776,0.214475939286413,0.0691242318773507,1.0172773518581e-05,0.00026845789882185,0.000335385231081163,0.000101025191922298,0.00285121222731118,0.00036,0.000545975957573987
53,ice,ice,1,0,-0.821,30.718,30.718,0.8231,0.8231,10.699,0.187072850096671,0.172,0.869492131471761,1.17952782927022,1.133,17.4821966,0.000225401701207411,0.170316105210766,0.202504515901623,0.0745777963409377,0.138244086720143,0.00909109418684415,0.00358364217764474,0.0598227484323203,0.198530999780179,0.0705504533466569,1.13542445430399e-05,0.00029321913147774,0.000305918600161716,0.000110040671504146,0.00269741797281016,0.00036,0.000498007023519073
54,ice,ice,1,0,-0.78,30.347,30.347,0.8425,0.8425,10.071,0.176492488977746,0.176,0.836962933482167,1.15017450860525,1.155,16.1711939,0.000131553108053328,0.163944286413694,0.149721623240815,0.0695870807821025,0.088380358227676,0.00830778159001071,0.00361618315467702,0.0560857387309118,0.181425046437973,0.0711910811125348,1.1202293437181e-05,0.000284229373907131,0.000252439366018196,0.000107715067047656,0.00228157382564659,0.00036,0.0004109478051459
55,ice,ice,1,0,-0.666,30.371,30.371,0.8649,0.8649,11.534,0.183272674046259,0.178,0.863770391459557,1.16544888958778,1.182,16.2560027,0.000196024744974788,0.169195330866025,0.177016895291566,0.0617449737543652,0.124345275348426,0.00835795591002119,0.00361555591328236,0.0575748122090733,0.182520751499459,0.0711787327355046,1.00235785091759e-05,0.000252446239321621,0.000231105176392418,9.63838289401069e-05,0.00204308040756458,0.00036,0.000376217729010913
56,ice,ice,1,0,-0.651,30.197,30.197,0.8151,0.8151,13.073,0.170098139394235,0.173,0.855345875424255,1.2221248695927,1.214,15.6411389,0.000267307858004965,0.167545136795851,0.278996107298175,0.097196779334317,0.189034079875439,0.00799575342965428,0.00361547186908741,0.0896524371355444,0.174610986286141,0.0711770781740944,1.37858905328634e-05,0.000342395731709365,0.000269360232059893,0.000132731446259647,0.00261735954116035,0.00036,0.000438493401027733
57,ice,ice,1,0,-0.387,30.041,30.041,0.76,0.76,10.123,0.154225727558746,0.192,0.789681975732082,1.17548264124837,1.143,15.0898817,0.000119316463599661,0.154682893143811,0.195576596512851,0.105975346321213,0.0948490687133247,0.00767409977937217,0.00360626119724656,0.0787782624288585,0.167586725018904,0.0709957495029305,1.97349629642704e-05,0.000468641791149039,0.000308355562199586,0.000190776328677009,0.0034196623418163,0.00036,0.000501974171022581
58,ice,ice,1,0,-0.38,30.099,30.099,0.76,0.76,11.481,0.156193065848382,0.219,0.814091983843941,1.20780530118821,1.118,15.2948363,0.000179032721649678,0.159464325153711,0.253586519525664,0.11875976435861,0.1403722952505,0.00779334893194896,0.00361069432522946,0.096585252463743,0.170190883880031,0.0710830236149745,1.95605183099309e-05,0.000465118270838559,0.000314738578572924,0.000188748026428687,0.003451251917351,0.00036,0.000512365127909411
59,ice,ice,1,0,-0.429,30.069,30.069,0.7569,0.7569,10.822,0.154833505946843,0.196,0.801887714227183,1.19244389154423,1.122,15.1888253,0.000148347991474437,0.157073753010694,0.226033498397472,0.113958623879952,0.117428788434927,0.00773161808577492,0.00360855038919299,0.0889882415603332,0.168842807800702,0.0710408163711087,1.99307093802472e-05,0.000473092539589572,0.000313969442464561,0.000192491485228686,0.0034798663382539,0.00036,0.00051111304587254
60,ice,ice,1,0,-0.444,30.078,30.078,0.79559,0.79559,9.798,0.159914468128451,0.185,0.79796509532201,1.15804221688417,1.128,15.2206286,0.000106847121501528,0.156305390480461,0.164088750365137,0.0884287374235507,0.0815760219782476,0.00775012603337407,0.00360922710877304,0.0661669663454874,0.169246983718938,0.0710541388153693,1.72962223338062e-05,0.000408516780753971,0.000282702468382747,0.0001670011744323,0.00301271040343833,0.00036,0.000460213320623077
