RowID,Regime0,RegimeNew,IceMultiplier,SalinityAnomaly,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,Hg0_water_Control,HgII_water_Control,MLD_Control,AS_Control,Net_Control,Diff_Hg0_Control,Diff_HgII_Control,Current_Hg0_Control,Current_HgII_Control,fr_Hg0_Control,fr_HgII_Control,Red_UVB_Control,Red_UVA_Control,Red_Bio_Control,Ox_UVB_Control,Ox_UVA_Control,Ox_Dark_Control,Ox_Bio_Control,Salinity_Control,SeaIce_Control,d_Hg0_water,d_HgII_water,d_MLD,d_AS,d_Net,d_Diff_Hg0,d_Diff_HgII,d_Current_Hg0,d_Current_HgII,d_fr_Hg0,d_fr_HgII,d_Red_UVB,d_Red_UVA,d_Red_Bio,d_Ox_UVB,d_Ox_UVA,d_Ox_Dark,d_Ox_Bio,d_Salinity,d_SeaIce
1,ice,ice,1,0,-0.405,28.054,28.054,0.432,0.432,3.92,0.0787781701878343,0.061,0.712467193908583,1.07999405419137,1.148,8.0684198,7.03987579247876e-06,0.139558062879255,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00383186764976868,0.00273331989483354,0.00733729451177218,0.0836801929337375,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,0.132550320126028,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ice,ice,1,-0.3,-0.405,28.054,27.754,0.432,0.432,3.92,0.0676979301035053,0.061,0.699488694007764,1.07631328424563,1.148,7.00830979999999,7.44706276369201e-06,0.137015834520219,0.019321937496668,0.00772304758105491,0.00948275161334758,0.00329280563781569,0.00247977095774318,0.00823984499461266,0.0719081753991033,0.0488187594051691,0.000200619520007157,0.00262674973123292,0.000198199050422935,0.00256438762462298,0.029638584437736,0.00036,0.000322649616967569,0.135203441926731,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.011080240084329,-0.0129784999008193,-1.06011000000001,-0.0066059285212745,-0.00791087500570709,0.000949779726227668,0.000902550482840489,-0.000539062011952983,-0.0117720175346342,-0.000253548937090356,-0.00499156767628069,1.47673484068952e-05,4.4553268657157e-05,-4.17916239788727e-05,0.000297007644117088,0.00392216649554044,0,-6.80328762446765e-05,-0.300000000000001,0
1,ice,ice,1,-0.6,-0.405,28.054,27.454,0.432,0.432,3.92,0.0567346210082391,0.061,0.686267560080934,1.07266814462863,1.148,5.94819979999998,8.1155365421643e-06,0.134426079011936,0.0127799552171579,-0.000336044101821864,0.010825893823559,0.00276451148592519,0.00219428033578233,0.0095103054165845,0.0603713060193295,0.0431983621090321,0.000221734408973306,0.00265923320091791,0.000159504787332882,0.00295340673999543,0.0351601075417843,0.00036,0.000259658956123296,0.137847219730569,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.0220435491795952,-0.0261996338276494,-2.12022000000002,-0.0131479108007847,-0.0159699666885839,0.00229292193643912,0.00217301090481233,-0.00106735616384348,-0.023308886914408,-0.00053903955905121,-0.0106119649724178,3.58822373730438e-05,7.70367383421491e-05,-8.04858870689267e-05,0.000686026759489542,0.00944368959958871,0,-0.00013102353708895,-0.600000000000001,0
1,ice,ice,1,-1,-0.405,28.054,27.054,0.432,0.432,3.92,0.0434079340055923,0.061,0.668710896777734,1.06823297583617,1.148,4.53471979999999,9.67618188778142e-06,0.130987080076735,0.00482009669441984,-0.0110031969480214,0.013620730760559,0.00207686928794618,0.00176393910781375,0.0121796168045393,0.0453545995316363,0.0347263196388505,0.000266614276548281,0.00267242764153981,0.000112746823779759,0.00369116608891844,0.0459716427073249,0.00036,0.000183541341036817,0.14135678992087,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.035370236182242,-0.0437562971308492,-3.53370000000001,-0.0211077693235227,-0.0266371195347834,0.00508775887343913,0.00484232229276709,-0.00175499836182249,-0.0383255934021013,-0.000969380787019785,-0.0190840074425993,8.07621049480193e-05,9.02311789640455e-05,-0.000127243850622049,0.00142378610841255,0.0202552247651294,0,-0.000207141152175429,-1,0
1,ice,ice,1,-1.5,-0.405,28.054,26.554,0.432,0.432,3.92,0.03143072210541,0.061,0.657730073663437,1.06424216405413,1.148,2.7678698,1.42327404838104e-05,0.128836156615622,-0.00234226818104265,-0.0248890509511126,0.0209773268841637,0.00124423619062863,0.00114615836067679,0.0186882473571605,0.0271715868091706,0.0225641925014827,0.000374824854814837,0.00266609300972303,6.20781851552631e-05,0.00523401640080504,0.0679894365123763,0.00036,0.00010105751071787,0.145716862149377,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.0473474480824243,-0.0547371202451465,-5.30055,-0.0282701341989852,-0.0405229735378746,0.0124443549970438,0.0113509528453883,-0.00258763145914005,-0.0565086061245669,-0.00158716153415675,-0.0312461345799672,0.000188972683214575,8.38965471472645e-05,-0.000177912489246545,0.00296663642029915,0.0422730185701807,0,-0.000289624982494376,-1.5,0
1,ice,ice,0.9,0,-0.405,28.054,28.054,0.432,0.3888,3.92,0.0791703764866748,0.061,0.719932303569414,1.08109489401238,1.148,8.0684198,7.26859220173544e-06,0.141020328443696,0.0281308789119504,0.0175993908540554,0.00879443486293907,0.00383186764976868,0.00273331989483354,0.00730723137333393,0.0836801929337375,0.0538103270814498,0.000199305129432006,0.0027691094258476,0.000247226527763077,0.00243150487075411,0.0275779075507431,0.00036,0.000402461789381754,0.132550320126028,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,0.000392206298840486,0.00746510966083003,0,0.00220301289400783,0.00196546826729338,0.000261462975819155,-3.00631384382473e-05,0,0,0,0,1.34529578317445e-05,0.000186912963271839,7.23585336126896e-06,0.000164124890248225,0.0018614896085475,0,1.17792961695077e-05,0,-0.0432
1,ice,ice,0.9,-0.3,-0.405,28.054,27.754,0.432,0.3888,3.92,0.0682307987906094,0.061,0.708627593859436,1.07718788480455,1.148,7.00830979999999,7.68910554587043e-06,0.138805962081251,0.0211189156707332,0.00926325441660114,0.00976830376495534,0.00329280563781569,0.00247977095774318,0.00816001104939466,0.0719081753991033,0.0488187594051691,0.000215141416198319,0.00281688769445687,0.000204174862894723,0.0027500114905227,0.0317839810892804,0.00036,0.000332377683782108,0.135203441926731,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.0105473713972249,-0.00383960004914774,-1.06011000000001,-0.00480895034720939,-0.00637066817016085,0.00123533187783543,0.000822716537622483,-0.000539062011952983,-0.0117720175346342,-0.000253548937090356,-0.00499156767628069,2.92892445980575e-05,0.000234691231881111,-3.58158115070848e-05,0.000482631510016815,0.00606756314708486,0,-5.8304809430138e-05,-0.300000000000001,-0.0432
1,ice,ice,0.9,-0.6,-0.405,28.054,27.454,0.432,0.3888,3.92,0.0573556810372642,0.061,0.697297782830273,1.07330044966032,1.148,5.94819979999998,8.37941210034073e-06,0.136586678872794,0.0141420822710706,0.00073206784998292,0.0111491223825969,0.00276451148592519,0.00219428033578233,0.00936227267471427,0.0603713060193295,0.0431983621090321,0.000237784711899981,0.00285172248855276,0.000164313946082229,0.00316718985585057,0.037705181080858,0.00036,0.000267487819203628,0.137847219730569,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.0214224891505701,-0.01516941107831,-2.12022000000002,-0.0117857837468719,-0.0149018547367791,0.00261615049547699,0.00202497816294209,-0.00106735616384348,-0.023308886914408,-0.00053903955905121,-0.0106119649724178,5.19325402997192e-05,0.000269526025976994,-7.56767283195797e-05,0.000899809875344683,0.0119887631386625,0,-0.000123194674008618,-0.600000000000001,-0.0432
1,ice,ice,0.9,-1,-0.405,28.054,27.054,0.432,0.3888,3.92,0.0440532044780394,0.061,0.682443726566553,1.06854076547373,1.148,4.53471979999999,9.99097052021955e-06,0.133677066562518,0.00559981150056393,-0.0106065979457615,0.0140281995192876,0.00207686928794618,0.00176393910781375,0.0118970630953438,0.0453545995316363,0.0347263196388505,0.000285913220374774,0.00286587201219452,0.000116146203717553,0.00395835210733629,0.0492993120343633,0.00036,0.000189075215354156,0.14135678992087,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.0347249657097949,-0.0300234673420307,-3.53370000000001,-0.0203280545173786,-0.0262405205325235,0.00549522763216769,0.00455976858357158,-0.00175499836182249,-0.0383255934021013,-0.000969380787019785,-0.0190840074425993,0.000100061048774512,0.000283675549618753,-0.000123844470684255,0.0016909721268304,0.0235828940921678,0,-0.00020160727785809,-1,-0.0432
1,ice,ice,0.9,-1.5,-0.405,28.054,26.554,0.432,0.3888,3.92,0.0319598673219152,0.061,0.674527293792812,1.06420858403666,1.148,2.7678698,1.46960753029415e-05,0.132126395833728,-0.00217521419687686,-0.0253480793784797,0.021617230033457,0.00124423619062863,0.00114615836067679,0.0180753812182404,0.0271715868091706,0.0225641925014827,0.000401956649524018,0.00285907884640432,6.39498772359526e-05,0.00561288204076181,0.0729108695767816,0.00036,0.000104104451314341,0.145716862149377,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.0468183028659191,-0.0379399001157711,-5.30055,-0.0281030802148194,-0.0409820019652417,0.0130842581463371,0.0107380867064683,-0.00258763145914005,-0.0565086061245669,-0.00158716153415675,-0.0312461345799672,0.000216104477923756,0.000276882383828561,-0.000176040797165856,0.00334550206025592,0.0471944516345861,0,-0.000286578041897904,-1.5,-0.0432
