Scenario,RowID,Regime0,RegimeNew,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
SalinityOnly,1,ice,ice,-0.405,28.054,26.954,0.432,0.432,3.92,0.040526093684116,0.061,0.664671733805003,1.0672732319541,1.148,4.18134979999999,1.02603777986915e-05,0.130195888896358,0.0030976311295735,-0.0136290783291083,0.014606564941678,0.00190794981069101,0.0016474811105798,0.0131199875078895,0.0416657418416186,0.0324336341269006,0.000282437098395996,0.00267468775849054,0.000101921772708016,0.00393116833703573,0.0494809315566065,0.00036,0.000165919164873515,0.142231275088126,0.000419180839831596,0.0035473936,2.0473906315884,0.061
SalinityOnly,2,ice,ice,-0.386,28.408,27.308,0.218,0.218,4.21,0.0554304552686134,0.071,0.745314118592628,1.07550170173176,1.139,5.4322796,1.23645859300598e-05,0.145992117976302,0.0189914576029603,0.00027244000306148,0.016583163010882,0.00251130366520421,0.00204378648447234,0.0108776894925685,0.0548417624059059,0.0402356194830979,0.000315268370187609,0.00359146696841148,0.000159851352467157,0.0042701269141369,0.0519144833231764,0.00036,0.000260223131923279,0.139130319710612,0.000242410723142649,0.0024561936,1.55695447313866,0.071
SalinityOnly,3,open,open,-0.458,28.775,27.075,0.1244,0.1244,5.671,0.054091700709797,0.066,0.834279228884795,1.08423836705883,1.05,5.37923886846525,3.0758539064608e-05,0.163418602398835,0.0351637989648124,-0.00852708627538978,0.0414804827030769,0.00246556534081022,0.00208677178975582,0.0135218325086892,0.0538429304629535,0.0410818626694047,0.000341374629684667,0.00362468981996382,0.000155760783267868,0.00471952727654539,0.0614051693175641,0.00036,0.000253564065784902,0.141172996580919,0.000141807591985048,0.0029767936,1.1908299290203,0.066
SalinityOnly,4,open,open,-0.394,28.596,26.896,0.0918,0.0918,8.036,0.0551340234834055,0.061,0.92148757199767,1.10633338191859,1.023,6.39819006799544,7.2163440999276e-05,0.180500971293569,0.0749895692625423,-0.0246092229265726,0.0969026003459801,0.00291321176175554,0.00253956719262142,0.000589593437224884,0.0636186174893733,0.0499959560308254,0.000296597546055052,0.0030703127038802,0.00017794194461238,0.00413729177189674,0.0592512017968846,0.00036,0.000289672933089921,0.142737923661304,3.44096804932384e-05,0.0035473936,0.586597651659453,0.061
SalinityOnly,5,ice,ice,-0.378,27.905,26.805,0.2245,0.2245,8.499,0.0583095878730458,0.078,0.952874045263549,1.11142583278592,1.042,3.65482849999999,0.00013423509044353,0.186648953189504,0.0834307871154383,-0.0957287391052347,0.177896843181531,0.00165847922500401,0.00146737498108799,-0.0197468798125922,0.0362178118373449,0.0288879204489491,0.00040400696205477,0.00352831549195529,9.68835843216955e-05,0.0056488851483213,0.0729593862650461,0.00036,0.000157717462849272,0.143532005922695,0.000387712329729306,0.0018113536,1.96904121269542,0.078
SalinityOnly,6,ice,ice,-0.457,27.869,26.769,0.2329,0.2329,7.794,0.0552426646969001,0.084,0.937463108380266,1.09861332584775,1.128,3.52761529999999,0.000105875527822242,0.183630259112115,0.0603918032223641,-0.083018837069804,0.142108308374231,0.00159860286344557,0.00142267756383701,-0.0075028511390987,0.0349102339287804,0.0280079712536436,0.00040601654760394,0.0034698981689173,9.2281773908887e-05,0.00568009494396296,0.0738107483649593,0.00036,0.000150226143572607,0.143845864275761,0.000826984333734916,0.0013366336,2.87573353030999,0.084
SalinityOnly,7,ice,ice,-0.44,27.682,26.582,0.2792,0.2792,9.128,0.0601924517112395,0.088,0.989598974988791,1.11849026936547,1.215,2.86681339999998,0.000194898809527375,0.193842631853801,0.0958215946875723,-0.161303494522621,0.256263256979342,0.00129007304386404,0.00118309931200117,-0.0640816265012588,0.0281725704215472,0.0232914416892642,0.000435671996581324,0.00323211175168791,7.0401444658468e-05,0.00608839157791954,0.0803975814832405,0.00036,0.00011460700293239,0.145473535753635,0.000773259741831745,0.0010601536,2.78075482887605,0.088
SalinityOnly,8,ice,ice,-0.418,27.641,26.541,0.6001,0.6001,5.549,0.0409717741799361,0.089,0.750443422437424,1.06865837333277,1.23,2.72193169999998,3.58974790970144e-05,0.14699684593377,0.00469901305381081,-0.0476099370235545,0.0510148118615175,0.00122298667931368,0.00112891262182677,0.0306697137992849,0.0267075407175239,0.0222246790584953,0.000253631923886819,0.00182501585764232,5.13395124439714e-05,0.0035402130183044,0.047088137283432,0.00036,8.3575950490186e-05,0.145829800106112,0.00230671047542305,0.0009960336,4.80282258200639,0.089
SalinityOnly,9,ice,ice,-0.443,27.643,26.543,0.5022,0.5022,4.723,0.0357193921919706,0.109,0.709237822495883,1.06588968344517,1.206,2.7289991,2.38823150327209e-05,0.138925493657082,0.000245161744242355,-0.0358221606063334,0.0346333198598857,0.00122625451882881,0.00113156971640279,0.0252728449614428,0.0267789036836012,0.0222769887528316,0.000310588026215734,0.00223989008942776,5.70061606145833e-05,0.0043354992414152,0.0576882980735928,0.00036,9.28007265818798e-05,0.145812426485064,0.00537004748071422,0.0001336336,7.32806078080294,0.109
SalinityOnly,10,ice,ice,-0.403,27.816,26.716,0.353,0.353,3.978,0.0361059321169274,0.11,0.690705106006149,1.06561622592217,1.209,3.34032919999999,1.35088660513736e-05,0.135295305438859,0.000539481427815763,-0.0208095096790081,0.0195612262574421,0.0015107337311285,0.00135603598328677,0.0155339850014095,0.0329913508625408,0.0266960116643501,0.000349005002671057,0.00289521824485854,8.0848008823155e-05,0.00488437960820296,0.064272822601654,0.00036,0.000131613037619089,0.144307636762362,0.00546033326830815,0.0001115136,7.38940678830726,0.11
