RowID,IceReduction_pct,Temperature,Salinity,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
1,0,0.816,27.137,0,6.946,0.0580498610191709,0.037,0.871033129172838,1.10843933498911,1.199,6.02094783911417,5.47682632796141e-05,0.170617955816524,0.0792522083171312,0.00426654228760182,0.0726610208105398,0.00276601111376006,0.00231696423225811,0.0141182359024653,0.0604040548400143,0.0456136156655099,0.000400698669480855,0.00428518309507946,0.000187973215403873,0.0055141858462778,0.0694541819483295,0.00036,0.000306002908797002,0.140630065617101,0.000443096648926411,0.0069822736,-2.10498610191709,0.037
2,0,-0.146,26.951,0.2726,1.903,0.0370153468294438,0.042,0.631790915577776,1.06528238966073,1.135,4.1707487,1.31694625718281e-06,0.123755194732599,0.00036340960694378,-0.0037754103156914,0.00190035414285158,0.0019029007111998,0.00164393253743709,0.00189821207232903,0.0415554797819174,0.0323637740706948,0.000371460441822605,0.00347191089626832,0.000112637321077142,0.00517090848287687,0.0643677160933328,0.00036,0.000183363080823254,0.142257491071738,2.4846767230736e-05,0.0061716736,0.49846531705562,0.042
3,0,-0.356,27.423,0.2807,3.466,0.0570456314363432,0.051,0.71381361711492,1.0722932390957,1.111,5.8386551,6.32300467151023e-06,0.139821800236004,0.0129032550622188,0.00224813850807226,0.00842383451996115,0.00271053491807486,0.00216295878468829,0.00654801904417004,0.059192567601292,0.0425817409399349,0.00028728665188156,0.00338440051193076,0.000171226067381948,0.00384098248321676,0.0455735253302573,0.00036,0.000278740109691544,0.138119856538161,3.65496594641016e-05,0.0048385936,-0.604563143634324,0.051
4,0,-0.405,28.054,0.432,3.92,0.0787781701878343,0.061,0.712467193908583,1.07999405419137,1.148,8.0684198,7.03987579247876e-06,0.139558062879255,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00383186764976868,0.00273331989483354,0.00733729451177218,0.0836801929337375,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,0.132550320126028,0.0003160633352276,0.0035473936,-1.77781701878343,0.061
5,0,-0.386,28.408,0.218,4.21,0.0912311976368087,0.071,0.750080813372046,1.09427605166008,1.139,9.31934960000001,9.80998242087283e-06,0.146925818075674,0.0526860420209633,0.0403119839608923,0.0112151415934761,0.00448181044548556,0.00299142424551972,0.00839894879285883,0.0978736211813873,0.0588915762824017,0.000232310233088291,0.00338995604214404,0.000330609678469547,0.00267756151693882,0.0304071626403051,0.00036,0.000538201802159727,0.129408279547353,0.000409301357819616,0.0024561936,-2.02311976368088,0.071
6,0,-0.458,28.775,0.1244,5.671,0.0915212898331768,0.066,0.717590237023224,1.1232780562818,1.05,6.71287108296867,4.03005961430169e-05,0.140561564484997,0.105228866953761,0.0586845824666218,0.0460085205857697,0.00327002340013384,0.00203105178797249,0.0409817855552298,0.0714106576821762,0.0399849140368619,0.000376210637165123,0.00521384714166804,0.000271291720907318,0.00410040154005839,0.0406943736977409,0.00036,0.00044163768519796,0.126138606498374,0.000651336234749013,0.0029767936,-2.55212898331768,0.066
7,0,-0.394,28.596,0.0918,8.036,0.0910372640620123,0.061,0.762516078575743,1.18169049046001,1.023,7.89512167408105,9.32553267763125e-05,0.149361637630673,0.210234009945711,0.102687335117385,0.10671299887853,0.0038220057590163,0.00245972330359757,0.0741046964822147,0.0834648293052729,0.0484240852110398,0.000321920473132584,0.00461440410968891,0.000308765948140426,0.00360322003058991,0.0383315890607488,0.00036,0.000502642241158833,0.127734862629395,0.000902237232331058,0.0035473936,-3.00372640620123,0.061
8,0,-0.378,27.905,0.2245,8.499,0.0790089767241471,0.078,0.803361763357793,1.15309994647833,1.042,7.5418985,8.52169613061083e-05,0.157362489731508,0.158223892986793,0.0534124000278072,0.103181984511411,0.003562787594479,0.002611383122567,0.0504969254945254,0.0778040320118904,0.0514097820112146,0.000250390701316743,0.00342762915146316,0.000245307235987376,0.00312765632916362,0.0361650892404293,0.00036,0.000399337360909681,0.133869173685461,1.01803402987055e-06,0.0018113536,-0.100897672414707,0.078
9,0,-0.457,27.869,0.2329,7.794,0.0772321767896091,0.084,0.792470971204868,1.13576684861807,1.128,7.4146853,6.58470958660884e-05,0.155229201533711,0.127071742298304,0.0449951200014815,0.0803755431226062,0.00349817337449306,0.00258074004665904,0.042566756168239,0.0763929889151873,0.0508065178486459,0.000247773843718259,0.00337757131786244,0.000238320678300983,0.00311232317896888,0.036183374933955,0.00036,0.000387963894908577,0.134187488784237,4.58034310071057e-05,0.0013366336,0.676782321039089,0.084
10,0,-0.44,27.682,0.2792,9.128,0.076191708719022,0.088,0.83970601028709,1.15277039672025,1.215,6.75388339999999,0.000106886438769293,0.164481600255647,0.157344611432531,0.0246684303310925,0.131084669479687,0.00316503301252428,0.00241416629013277,0.0441189416072842,0.0691178812362344,0.0475272133154272,0.000243754471720024,0.00319069607695005,0.000205290459264206,0.00314876333168233,0.0372844851395076,0.00036,0.00033419377089522,0.135838820089572,0.000139435742976421,0.0010601536,1.1808291280978,0.088
