Scenario,RowID,Regime0,RegimeNew,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
IceOnly,1,ice,ice,-0.405,28.054,28.054,0.432,0.3907008,3.92,0.0791528399078778,0.061,0.719605811198997,1.08104597920735,1.148,8.0684198,7.2584774979942e-06,0.140956375123249,0.0280330887354186,0.0175120654467802,0.00878290064116461,0.00383186764976868,0.00273331989483354,0.00730878709538248,0.0836801929337375,0.0538103270814498,0.00019871319928741,0.00276088525546364,0.000246920158255552,0.00242428337558319,0.027496002007967,0.00036,0.000401963048322991,0.132550320126028,0.000329525596721041,0.0035473936,-1.81528399078778,0.061
IceOnly,2,ice,ice,-0.386,28.408,28.408,0.218,0.1971592,4.21,0.0913244974588241,0.071,0.752502139975251,1.09503468485013,1.139,9.31934960000001,9.94843473931043e-06,0.147400107493111,0.0541572367613648,0.0416364842909116,0.0113682934962708,0.00448181044548556,0.00299142424551972,0.0083983150662207,0.0978736211813873,0.0588915762824017,0.000238281485911251,0.00347709075126667,0.000333632929249024,0.00274638498869949,0.0311887418817374,0.00036,0.000543123373196085,0.129408279547353,0.00041308519695375,0.0024561936,-2.03244974588242,0.071
IceOnly,3,open,open,-0.458,28.775,28.775,0.1244,0.11250736,5.671,0.0915556794122073,0.066,0.718473720858352,1.12404916587415,1.05,6.71287108296867,4.0611573281349e-05,0.140734621284903,0.106675367611469,0.0597855736894852,0.0463558206099884,0.00327002340013384,0.00203105178797249,0.0411205131195123,0.0714106576821762,0.0399849140368619,0.000381157679512378,0.00528240746414139,0.000272485912614492,0.00415432043031697,0.0412294909168997,0.00036,0.000443581718209637,0.126138606498374,0.000653092750219516,0.0029767936,-2.55556794122073,0.066
IceOnly,4,open,open,-0.394,28.596,28.596,0.0918,0.08302392,8.036,0.0910048404675856,0.061,0.762800046911792,1.18265016786884,1.023,7.89512167408105,9.37789002779104e-05,0.149417261343929,0.212002536370527,0.103837978867944,0.107328941188407,0.0038220057590163,0.00245972330359757,0.07438900389645,0.0834648293052729,0.0484240852110398,0.000324935606508378,0.00465762299448098,0.000309714898089465,0.00363696808292359,0.0386906058464774,0.00036,0.000504187043401454,0.127734862629395,0.000900290451485262,0.0035473936,-3.00048404675856,0.061
IceOnly,5,ice,ice,-0.378,27.905,27.905,0.2245,0.2030378,8.499,0.0789203060077449,0.078,0.804412330468348,1.15513049639401,1.042,7.5418985,8.64600137504753e-05,0.15756827480081,0.161981084031371,0.0556169955733815,0.104729479596817,0.003562787594479,0.002611383122567,0.0507841503247598,0.0778040320118904,0.0514097820112146,0.000257072152661645,0.00351909236189165,0.000247658498372248,0.00321111503380795,0.0371301222183845,0.00036,0.000403164997350171,0.133869173685461,8.46963147891352e-07,0.0018113536,-0.0920306007744898,0.078
IceOnly,6,ice,ice,-0.457,27.869,27.869,0.2329,0.21063476,7.794,0.0771739475163123,0.084,0.793855633057088,1.1375405073923,1.128,7.4146853,6.68474788490175e-05,0.155500429075822,0.130372112908451,0.0470495615386018,0.0816181715233305,0.00349817337449306,0.00258074004665904,0.0427555284530801,0.0763929889151873,0.0508065178486459,0.000254705240196817,0.00347205782857474,0.000240734818410306,0.00319938945521139,0.0371955936324096,0.00036,0.000391893890435381,0.134187488784237,4.6594992510059e-05,0.0013366336,0.68260524836877,0.084
IceOnly,7,ice,ice,-0.44,27.682,27.682,0.2792,0.25250848,9.128,0.0760560072680181,0.088,0.841209780737664,1.15540347652949,1.215,6.75388339999999,0.000108876494999421,0.164776158788154,0.162210688112984,0.0270051255281519,0.133606948681041,0.00316503301252428,0.00241416629013277,0.044130375561875,0.0691178812362344,0.0475272133154272,0.000252433927707649,0.0033043083769598,0.00020803270435742,0.00326088251686048,0.0386120876466784,0.00036,0.000338657890814405,0.135838820089572,0.000142658962381636,0.0010601536,1.19439927319819,0.088
IceOnly,8,ice,ice,-0.418,27.641,27.641,0.6001,0.54273044,5.549,0.0665503667334226,0.089,0.715289714786919,1.08249197153464,1.23,6.60900169999999,1.99613831171328e-05,0.140110938225074,0.0298282437123334,0.00223479633939927,0.0255445729546433,0.00309255075365372,0.00237598593315459,0.0205259706207893,0.0675350161790533,0.0467755641941641,0.00015762409310189,0.00205108764790333,0.000164703949584847,0.00204807557519823,0.0244714233609258,0.00036,0.000268122708626495,0.136200389527962,0.000503986033803819,0.0009960336,2.24496332665774,0.089
IceOnly,9,ice,ice,-0.443,27.643,27.643,0.5022,0.45418968,4.723,0.0649861710123594,0.109,0.707164827068755,1.07927404827653,1.206,6.6160691,1.31772326787756e-05,0.138519435345007,0.0245188983081722,0.0054103995275101,0.0169768624796647,0.00309608180752593,0.00237786223098933,0.0140796081569413,0.0676121272111382,0.0468125024977928,0.000185948165285512,0.00242215265980054,0.000178352892983721,0.00241542110065524,0.028868860159168,0.00036,0.000290341918810708,0.136182756115453,0.00193721714215327,0.0001336336,4.40138289876406,0.109
IceOnly,10,ice,ice,-0.403,27.816,27.816,0.353,0.3192532,3.978,0.0714964610801381,0.11,0.724563569128558,1.08003138083136,1.209,7.22739919999999,8.33176871913826e-06,0.141927500669505,0.0265881358057959,0.0141803415815768,0.0104343095689258,0.0034033290617133,0.00253478957975268,0.00818516165770118,0.0743217820997437,0.0499019001131038,0.000218424385075569,0.00296872066997566,0.000219649297625825,0.00276605498895354,0.0325529792714338,0.00036,0.000357568624042041,0.13465587936571,0.00148252250935332,0.0001115136,3.85035389198619,0.11
