Temperature,Salinity,DGM,ICE,WS,GEM,Lat
1.3651,26.3430,0.0462,0.0000,3.3197,0.9818,74.5204
1.2433,26.3154,0.0526,0.0000,3.5759,0.9990,74.6336
1.0989,26.6725,0.0704,0.0000,3.5411,1.0230,74.7465
1.0047,26.8599,0.0704,0.0000,2.8528,1.0292,74.8606
0.9073,27.0147,0.0779,0.0000,2.5356,1.0247,74.9761
0.8629,27.1791,0.0722,0.0000,1.3333,0.9995,75.0251
0.9476,27.0671,0.0798,0.0000,3.2289,0.9820,74.9808
0.7896,27.1935,0.0867,0.0000,3.1233,0.9955,75.0466
0.7389,27.3241,0.0820,0.0000,3.8243,0.9745,75.2018
0.6134,27.4944,0.0691,0.0000,4.9269,1.0093,75.3675
0.5393,27.5628,0.0674,0.0000,5.2621,1.1278,75.4788
0.5287,27.5949,0.0834,0.0000,7.9593,1.2700,75.5640
0.5207,27.5966,0.0862,0.0000,9.1961,1.2630,75.7086
0.2184,27.8629,0.0925,0.0000,9.6296,1.2398,75.8707
0.1944,27.7798,0.0855,0.0000,10.4559,1.2158,75.9051
0.1643,27.8029,0.0869,0.0000,10.5446,1.2168,75.8627
0.0875,27.9076,0.0980,0.0000,8.3814,1.2152,75.9206
0.1845,27.7580,0.0886,0.0000,8.2907,1.2032,75.9727
0.0730,28.0191,0.1017,0.0000,11.1917,1.2080,76.0353
-0.0617,28.2803,0.1011,0.0000,10.6947,1.2103,76.0599
-0.4040,28.7526,0.1126,0.0000,9.7351,1.1803,76.0835
-0.4282,28.7321,0.1232,0.0000,9.9831,1.1792,76.0641
-0.4140,28.7099,0.1151,0.0058,10.6761,1.1700,76.1645
-0.4525,28.8097,0.1198,0.0657,10.3096,1.1687,76.3215
-0.4720,28.7835,0.1195,0.0420,11.7223,1.1700,76.3917
-0.5178,28.7874,0.1229,0.0984,12.2380,1.1702,76.4602
-0.6221,29.0319,0.1277,0.2682,11.5823,1.1720,76.6348
-0.5744,29.0238,0.1179,0.0821,11.6697,1.1790,76.8268
-0.6392,29.0726,0.1295,0.3206,10.9232,1.1790,77.0188
-0.6957,29.0763,0.1322,0.3917,9.5853,1.1758,77.1620
-0.6922,29.2906,0.1291,0.4925,10.1078,1.1663,77.2740
-0.6426,29.7192,0.1202,0.4289,10.2682,1.1532,77.4297
-0.6635,29.8840,0.1353,0.4599,8.6331,1.1452,77.6088
-0.6740,29.9705,0.1444,0.4796,7.1335,1.1367,77.7940
-0.6586,29.9123,0.1331,0.3382,8.1656,1.1450,77.9366
-0.7065,29.9458,0.1284,0.5303,7.3029,1.1310,78.0560
-0.5571,30.0835,0.1589,0.6666,6.7111,1.1395,78.1821
-0.5527,30.7588,0.1410,0.7139,2.4762,1.1488,79.1334
-0.5313,30.4941,0.1557,0.7490,2.2133,1.1517,79.3153
-0.6917,30.4470,0.1592,0.8261,1.9217,1.1527,79.4759
-0.6395,30.1214,0.1617,0.7247,3.4235,1.1554,79.6339
-0.6187,30.0066,0.1699,0.7524,4.1461,1.1407,79.7897
-0.6239,29.9481,0.1748,0.7841,6.5873,1.1388,79.9096
-0.4739,29.8805,0.1486,0.8860,6.9723,1.1355,79.9556
-0.4623,29.7724,0.1559,0.8792,6.8442,1.1295,79.9623
-0.6780,30.2288,0.1337,0.7740,6.8679,1.1272,80.0936
-0.4040,30.7703,0.0872,0.7667,7.2409,1.1188,80.2540
-0.5538,30.9365,0.1516,0.7006,8.0114,1.1233,80.3840
-0.3898,31.1041,0.1545,0.8334,6.0072,1.1275,80.5066
-0.6705,31.0022,0.1636,0.6199,5.0288,1.1262,80.6187
-0.6511,31.0045,0.1711,0.6199,5.3217,1.1265,80.6239
-0.6562,31.0067,0.1621,0.6199,6.5593,1.1254,80.6251
-0.6575,31.0132,0.1735,0.6090,8.8344,1.1337,80.6322
-0.6444,31.0134,0.1743,0.6090,10.5437,1.1250,80.6372
-0.6457,31.0134,0.1671,0.6090,10.0547,1.1232,80.6454
-0.6582,31.0121,0.1670,0.6090,10.7232,1.1257,80.6566
-0.6781,31.0153,0.1743,0.6242,10.4190,1.1275,80.6611
-0.6769,31.0332,0.1662,0.6242,9.4877,1.1348,80.6704
-0.8141,30.9483,0.1687,0.6494,9.4201,1.1227,80.7006
-0.7319,31.0467,0.1802,0.7480,8.6178,1.1148,80.5971
-0.5503,31.0566,0.1694,0.8252,9.5507,1.1290,80.4526
-0.8206,30.7184,0.1715,0.8231,10.6987,1.1327,80.3392
-0.7795,30.3466,0.1762,0.8425,10.0710,1.1547,80.2587
-0.6662,30.3709,0.1782,0.8649,11.5335,1.1818,80.1775
-0.6506,30.1966,0.1732,0.8151,13.0733,1.2143,80.0782
-0.3867,30.0409,0.1921,0.7600,10.1233,1.1433,79.6703
-0.3796,30.0991,0.2187,0.7600,11.4811,1.1182,79.6714
-0.4286,30.0690,0.1962,0.7569,10.8220,1.1220,79.6606
-0.4441,30.0785,0.1848,0.7956,9.7980,1.1282,79.6104
-0.4307,30.3477,0.1913,0.8529,11.3591,1.1273,79.4781
-0.5091,30.4199,0.1749,0.7681,10.6564,1.1233,79.3383
-0.1932,30.5368,0.1662,0.7542,9.9406,1.1215,79.2161
-0.5523,30.5486,0.1806,0.7018,9.0691,1.1158,79.2205
-0.4712,30.5021,0.1601,0.7130,10.0229,1.1127,79.1877
-0.6024,30.8523,0.1538,0.6042,9.5323,1.1140,79.0824
-0.6576,30.6933,0.1338,0.4836,9.5927,1.1018,78.9216
-0.4705,30.4419,0.1380,0.5822,8.5820,1.0795,78.8209
-0.3698,30.1378,0.1534,0.6344,7.6402,1.1027,78.7625
-0.3586,30.0967,0.1690,0.6310,7.7579,1.1184,78.7647
-0.3628,30.0996,0.1653,0.6310,8.1964,1.1070,78.7647
-0.3598,30.1069,0.1603,0.6310,7.4360,1.1158,78.7672
-0.3618,30.1034,0.1531,0.6775,6.7536,1.1142,78.7785
-0.3522,30.1037,0.1565,0.6775,5.8355,1.1120,78.7843
-0.3558,30.1086,0.1561,0.6775,5.1989,1.1202,78.7846
-0.3436,30.1034,0.1546,0.6775,4.1890,1.1182,78.7860
-0.4070,30.1024,0.1561,0.6775,2.8884,1.1070,78.7889
-0.6035,30.1387,0.1574,0.6794,4.0163,1.1092,78.7522
-0.1027,30.2558,0.1342,0.7169,6.0562,1.1140,78.6494
-0.5601,29.5910,0.1496,0.7107,6.3953,1.1083,78.5012
0.5857,29.6118,0.1450,0.8058,6.3899,1.1135,78.3859
0.7082,29.5378,0.1497,0.6517,5.6412,1.1175,78.3607
-0.4951,29.5069,0.1568,0.5746,5.8853,1.1327,78.3658
-0.5579,29.5409,0.1502,0.4967,6.8090,1.1090,78.2601
-0.5395,29.6486,0.1451,0.5133,6.5354,1.1090,78.1030
-0.4543,29.8030,0.1250,0.6369,5.7319,1.1163,77.9502
0.2351,29.9640,0.1506,0.6521,5.0582,1.1210,77.8642
-0.4353,29.9162,0.1368,0.6424,4.6661,1.1153,77.8543
-0.4339,29.9195,0.1339,0.6424,4.3533,1.1227,77.8546
-0.4296,29.9171,0.1421,0.6539,4.4983,1.1242,77.8565
-0.4292,29.9311,0.1406,0.6539,4.3176,1.1155,77.8568
-0.4245,29.9540,0.1516,0.6539,4.4623,1.1065,77.8609
-0.4704,29.9974,0.1605,0.6539,7.1744,1.0328,77.8637
-0.4711,29.7264,0.1363,0.6707,7.9063,1.0273,77.7709
-0.4296,28.9465,0.1249,0.5638,7.1306,1.0210,77.5997
-0.4174,29.0645,0.1243,0.5861,5.7511,1.0338,77.4367
-0.4738,29.2100,0.1310,0.7071,6.3232,1.0473,77.2757
-0.4171,29.0458,0.1240,0.4203,6.2967,1.0498,77.1440
-0.3680,29.0864,0.1328,0.2466,7.0201,1.0418,77.1137
-0.3889,28.9744,0.1303,0.1138,8.0498,1.1147,77.0665
-0.3938,28.9055,0.1193,0.0854,9.0172,1.1077,77.0007
-0.3573,28.8391,0.1090,0.0098,10.4726,1.0832,76.9458
-0.2945,28.5926,0.1093,0.0000,10.2385,1.0593,76.8842
-0.2973,28.4604,0.0983,0.0000,9.5323,1.0442,76.8057
