Temperature,Salinity,DGM,ICE,WS,GEM,Lat
-0.623925,29.94810833,0.174768178,0.78414723,4.654767546,1.138833333,79.9
-0.473941667,29.880475,0.148622062,0.886017968,5.6713515,1.1355,80
-0.46225,29.772425,0.15590244,0.87918723,6.399877375,1.1295,80
-0.677971429,30.22875714,0.133700805,0.774041753,7.026308408,1.127166667,80.1
-0.404,30.7703,0.087215953,0.76669699,7.337651298,1.1188,80.3
-0.553833333,30.9365,0.151560082,0.70056688,7.128693231,1.123333333,80.4
-0.389808333,31.10408333,0.154549989,0.833361724,6.74502201,1.1275,80.5
-0.670475,31.00216667,0.163557342,0.619875167,6.785364726,1.126166667,80.6
-0.6511,31.0045,0.171067333,0.619875167,6.905964075,1.1265,80.6
-0.65615,31.006725,0.162115765,0.619875167,7.35975686,1.1254,80.6
-0.657483333,31.013175,0.173501104,0.608980946,8.407728676,1.133666667,80.6
-0.644408333,31.01335833,0.174290307,0.608980946,8.941466467,1.125,80.6
-0.645741667,31.01343333,0.16714024,0.608980946,9.54755281,1.123166667,80.6
-0.658241667,31.01211667,0.166983671,0.608980946,10.06923745,1.125666667,80.7
-0.6781,31.01531667,0.174331859,0.624213727,10.11565175,1.1275,80.7
-0.676875,31.03315,0.166215143,0.624213727,9.878059074,1.1348,80.7
-0.814066667,30.94826667,0.16873055,0.649365832,9.152520196,1.122666667,80.7
-0.731941667,31.04670833,0.180161794,0.748002417,9.07828406,1.114833333,80.6
-0.550341667,31.05658333,0.169369048,0.825233737,9.153939525,1.129,80.5
-0.820633333,30.71835,0.171545311,0.823140281,9.459703166,1.132666667,80.3
-0.779533333,30.34660833,0.1761824,0.842479597,10.12257177,1.154666667,80.3
-0.666216667,30.37094167,0.178157642,0.864883456,10.99730677,1.1818,80.2
-0.6506,30.19656667,0.173167689,0.815135825,11.53918616,1.214333333,80.1
-0.38665,30.04085,0.192055404,0.759967461,13.2122817,1.143333333,79.7
-0.3796,30.0991,0.218743193,0.759967461,13.32953436,1.118166667,79.7
-0.42864,30.06902,0.196232572,0.756882144,12.99921347,1.122,79.7
-0.444125,30.07845,0.18483456,0.795592918,12.46243373,1.128166667,79.6
-0.43065,30.347675,0.191298022,0.85287881,11.93708458,1.127333333,79.5
-0.509133333,30.41990833,0.174927521,0.768064265,11.11234638,1.123333333,79.3
-0.193233333,30.53681667,0.166230038,0.754199696,10.41828819,1.1215,79.2
-0.55225,30.5486,0.180563675,0.701753328,10.19552335,1.115833333,79.2
-0.471171429,30.50205714,0.160111724,0.712985938,9.829169478,1.112666667,79.2
-0.60235,30.85230833,0.153809987,0.60417829,9.526485255,1.114,79.1
-0.657633333,30.69334167,0.13375762,0.483596283,9.261449428,1.101833333,78.9
-0.470508333,30.44188333,0.137965653,0.582228895,8.899170773,1.0795,78.8
-0.369791667,30.13779167,0.153393042,0.634426083,8.582803113,1.102666667,78.8
-0.358558333,30.09665,0.168989369,0.631001042,8.308489801,1.1184,78.8
-0.362783333,30.099575,0.165254159,0.631001042,7.887619213,1.107,78.8
-0.3598,30.10685833,0.160328765,0.631001042,7.513300518,1.115833333,78.8
-0.361766667,30.10335,0.153070447,0.677527599,7.166885889,1.114166667,78.8
-0.352233333,30.10369167,0.15654481,0.677527599,6.616617241,1.112,78.8
-0.355791667,30.10859167,0.1560521,0.677527599,5.910663182,1.120166667,78.8
-0.343566667,30.10343333,0.154624907,0.677527599,5.131529433,1.1182,78.8
-0.407,30.1024,0.156081194,0.677527599,4.281165569,1.107,78.8
-0.6035,30.13865,0.157422241,0.679385779,3.722452435,1.109166667,78.8
-0.102725,30.25584167,0.134247168,0.71693949,4.455751371,1.114,78.6
-0.560066667,29.59104167,0.149636228,0.710692417,5.24177408,1.108333333,78.5
0.585666667,29.61175,0.145013337,0.805818067,5.764995686,1.1135,78.4
0.7082,29.53781667,0.149725574,0.651700723,6.174295402,1.1175,78.4
-0.49509,29.50689,0.156810179,0.574568789,5.293369924,1.132666667,78.4
-0.557866667,29.54090833,0.150237383,0.496662494,5.633013964,1.109,78.3
-0.539525,29.64861667,0.14512313,0.513317517,5.798311122,1.109,78.1
-0.45425,29.803025,0.125034273,0.636896515,5.881537766,1.116333333,78
0.235083333,29.96396667,0.15057821,0.652106367,5.635168569,1.121,77.9
-0.435308333,29.91620833,0.136782088,0.642361309,5.157541031,1.115333333,77.9
-0.433875,29.9195,0.133929651,0.642361309,4.739547584,1.122666667,77.9
-0.42955,29.917075,0.142127358,0.653862525,4.524275898,1.124166667,77.9
-0.429216667,29.931125,0.140637818,0.653862525,4.43942625,1.1155,77.9
-0.424533333,29.95398333,0.151602346,0.653862525,4.309375539,1.1065,77.9
-0.4704,29.9974,0.160490137,0.653862525,5.472534208,1.032833333,77.9
-0.471141667,29.726375,0.136292493,0.670662357,6.119430443,1.027333333,77.8
-0.429566667,28.94648333,0.124914149,0.563803893,6.607192527,1.021,77.6
-0.417433333,29.06446667,0.124305174,0.586097843,6.770982517,1.0338,77.4
-0.473791667,29.20996667,0.131014339,0.707088307,6.528490616,1.047333333,77.3
-0.417142857,29.0458,0.123952483,0.420300402,6.4012839,1.049833333,77.1
-0.368,29.0864,0.132819674,0.246554557,6.562466961,1.041833333,77.1
-0.3889,28.9744,0.130280797,0.113776114,7.486346964,1.114666667,77.1
-0.393766667,28.90546667,0.119282917,0.085392419,8.153214675,1.107666667,77
-0.357275,28.839125,0.108982045,0.009829701,8.73157936,1.083166667,76.9
-0.294491667,28.59258333,0.109291531,0,9.393806664,1.059333333,76.9
-0.297275,28.46036667,0.098264981,0,9.163346071,1.044166667,76.8
-0.327233333,28.50311667,0.103058878,0,8.572100871,1.029333333,76.8
-0.376125,28.508525,0.100840037,0.148049197,7.756210558,1.025,76.8
-0.440175,28.30958333,0.11562421,0.233000085,7.046129324,1.043,76.7
-0.447091667,28.14901667,0.115778504,0.313733161,6.409484062,1.0585,76.6
-0.432483333,28.11485,0.127329227,0.227586752,6.235206312,1.070666667,76.5
-0.347341667,28.1651,0.094184237,0.013233196,6.176512012,1.073833333,76.5
-0.3415,28.2464,0.080937657,0.058393863,6.209158754,1.043166667,76.4
-0.34205,28.26273333,0.076890139,0.055721831,6.49040092,1.036333333,76.5
-0.36665,28.2487,0.075280832,0.265207873,6.881223462,1.021666667,76.5
0.12076,28.20594,0.090279789,0.314345748,7.143080225,1.018833333,76.5
-0.3218375,28.1981875,0.081591053,0.439155637,7.447147423,1.0515,76.5
-0.36312,28.23138,0.092836376,0.400190799,7.296168504,1.055333333,76.5
-0.340508333,28.3267,0.070016353,0.366677999,7.1517597,1.056166667,76.5
-0.3533,28.3529,0.058035808,0.356676132,6.772744175,0.968,76.5
-0.3463,28.311675,0.066302814,0.343635413,7.301210401,0.980166667,76.5
-0.349908333,28.27581667,0.059004261,0.336103623,7.391999618,0.983,76.4
-0.34255,28.2228,0.067895843,0.304815557,7.009881531,0.9705,76.4
-0.33915,28.2493,0.079754098,0.292009731,5.74882424,0.9905,76.4
-0.356733333,28.28678333,0.069130452,0.140706594,5.548417573,1.001666667,76.4
-0.346658333,28.30791667,0.077772672,0.048830862,5.547054809,1.0175,76.4
-0.286366667,28.12326667,0.058231717,0.044180911,5.492276988,1.029166667,76.4
-0.349185714,28.0819,0.065042685,0.128760121,5.458160445,1.0075,76.4
-0.33545,28.1047,0.08327172,0.080769493,5.097206507,1.011,76.4
-0.324258333,28.05126667,0.071401542,0.053561781,4.547158094,1.003333333,76.3
-0.215258333,27.91038333,0.05169851,0.00414184,4.005216466,0.986333333,76.2
-0.03565,27.32808333,0.028110197,0,3.5938756,0.959833333,76
0.001758333,27.04543333,0.018503094,0,3.264238498,0.9765,75.8
0.326325,26.68785833,0.011500136,0,3.52767194,1.049,74.7
0.437433333,26.6212,0.007491325,0,2.945946275,1.0395,74.5
0.5141,26.64388333,0.007749469,0,2.316647432,0.972666667,74.3
1.340916667,26.85875833,0.009452275,0,1.626699663,1.030666667,74.1
