IceMultiplier,SalinityAnomaly,N,Hg0_water_median,Hg0_water_mean,HgII_water_median,HgII_water_mean,MLD_median,MLD_mean,AS_median,AS_mean,Net_median,Net_mean,Red_UVA_median,Red_UVA_mean,Ox_UVA_median,Ox_UVA_mean,SeaIce_median,SeaIce_mean,Salinity_median,Salinity_mean,n_shift,d_Hg0,d_HgII,d_Net,d_AS,pct_Hg0,pct_HgII,pct_Net,pct_AS,DomScore
1,0,124,0.140630619478579,0.131828739252045,0.759073115504791,0.772603932035634,14.38490855,12.9698508712676,0.133724268925386,0.171068940339107,0.0751559978934641,0.0905301004720424,0.000903644050638556,0.00161097031234866,0.00662041511135787,0.0138096193191465,0.60659,0.492567016129032,29.8415,29.5296532258064,0,0,0,0,0,0,0,0,0,0
1,-0.25,124,0.132907142845642,0.125459335155608,0.761402027218276,0.765726433533988,13.50148355,12.1878553421936,0.123775093724342,0.15818255782893,0.0713549341416088,0.0837334782054359,0.000930422866147327,0.00161398178263427,0.00662757419899364,0.0146450155700055,0.60659,0.492567016129032,29.5915,29.2796532258064,0,-0.00772347663293615,0.00232891171348459,-0.00380106375185538,-0.0099491752010441,-5.49203058450057,0.306809932523541,-5.05756540847678,-7.44006699830635,-0.00614811144918873
1,-0.5,124,0.124340513876088,0.119005079165928,0.764782710914459,0.763574314956244,12.61805855,11.4120973306345,0.11459772402026,0.145898942237703,0.0670723005406366,0.0739100768721587,0.00095598542659587,0.00160919751537031,0.0065739164231892,0.0157557294450784,0.60659,0.492567016129032,29.3415,29.0296532258064,0,-0.0162901056024906,0.00570959540966776,-0.00808369735282757,-0.019126544905126,-11.5836122054287,0.752179901124652,-10.7558911855398,-14.3029721222839,-0.0110428475522985
1,-0.75,124,0.116611735127439,0.111988942320899,0.766196505399796,0.76589360508749,11.73463355,10.6414679455496,0.102598923911828,0.133628333712888,0.0597684872494108,0.0619541740061174,0.000980376925951418,0.00159679810385436,0.00714828584249357,0.0172194471547231,0.60659,0.492567016129032,29.0915,28.7796532258064,0,-0.0240188843511393,0.00712338989500505,-0.0153875106440533,-0.0311253450135588,-17.0794130326632,0.938432642324307,-20.4740953155403,-23.2757638263296,-0.0157378343695055
1,-1,124,0.108243847347015,0.104843419435344,0.761493043595808,0.771335303680824,10.85120855,9.87511822363533,0.0918945080440075,0.121389216178684,0.0485439068617271,0.0483753079113166,0.00100359990594125,0.00157711575548265,0.00771876916707194,0.0191287084940814,0.60659,0.492567016129032,28.8415,28.5296532258064,0,-0.0323867721315639,0.00241992809101654,-0.0266120910317371,-0.0418297608813789,-23.0296732330736,0.31880039505908,-35.4091380297558,-31.2806053961069,-0.0152176698496418
0.75,0,124,0.130965058004446,0.124419016553608,0.754988234936581,0.76451199148125,14.38490855,12.9698508712676,0.167207831810663,0.210125477454421,0.108818111727796,0.115647935718792,0.00127915829753395,0.00187491759815024,0.0091455718104393,0.0160005230549087,0.4549425,0.369425262096774,29.8415,29.5296532258064,0,-0.0096655614741325,-0.00408488056821055,0.0336621138343317,0.0334835628852762,-6.87301350870092,-0.538140593412278,44.7896572167783,25.0392566393157,0.0001785509490555
0.75,-0.25,124,0.124779895529393,0.118529307236722,0.756341549693433,0.757239300631286,13.50148355,12.1878553421936,0.149331613793148,0.194620134770693,0.105837303966919,0.108687890253701,0.00131706519686225,0.00188488913057091,0.0088860822452717,0.0168767891226043,0.4549425,0.369425262096774,29.5915,29.2796532258064,0,-0.0158507239491852,-0.00273156581135781,0.0306813060734545,0.0156073448677621,-11.2711755149451,-0.359855428359004,40.8234963721008,11.6712882359974,0.0150739612056924
0.75,-0.5,124,0.118173063841212,0.112623816473579,0.755552523508315,0.755661600763036,12.61805855,11.4120973306345,0.139345955980693,0.180063099026598,0.0953273558119461,0.0979411997679133,0.00135325041966194,0.00188647388076838,0.00934213485223861,0.0180889027465412,0.4549425,0.369425262096774,29.3415,29.0296532258064,0,-0.0224575556373663,-0.00352059199647614,0.020171357918482,0.00562168705530716,-15.969179201964,-0.463801434218219,26.8393188619164,4.20393927032338,0.0145496708631748
0.75,-0.75,124,0.11055914569525,0.106230251926645,0.74925667581739,0.759513155934099,11.73463355,10.6414679455496,0.126339171742003,0.16550074329911,0.0843421289333699,0.0845227134894263,0.00138777794050147,0.00187989322441393,0.0100984011964014,0.0197332934500669,0.4549425,0.369425262096774,29.0915,28.7796532258064,0,-0.0300714737833291,-0.00981643968740165,0.00918613103990576,-0.00738509718338329,-21.3833046422082,-1.2932139851737,12.2227517395583,-5.52263044152735,0.00180103385652247
0.75,-1,124,0.103966772306121,0.0997079385485122,0.750643016590972,0.767146733663696,10.85120855,9.87511822363533,0.113841907105615,0.150953397310344,0.0669301009117012,0.0691327556340511,0.00142065135733685,0.00186546969754095,0.0110897169722653,0.0218963627973184,0.4549425,0.369425262096774,28.8415,28.5296532258064,0,-0.0366638471724573,-0.00843009891381929,-0.00822589698176299,-0.0198823618197717,-26.071027282961,-1.1105779853912,-10.9450971477,-14.8681776161853,-0.0116564648380087
