IceReduction_pct,Hg0_water_mean,Hg0_water_std,HgII_water_mean,HgII_water_std,Hg0_air_mean,Hg0_air_std,MLD_mean,MLD_std,Dw_mean,Dw_std,P_sink_mean,P_sink_std,AS_mean,AS_std,Net_mean,Net_std,Diff_Hg0_mean,Diff_Hg0_std,Current_Hg0_mean,Current_Hg0_std,fr_Hg0_mean,fr_Hg0_std,Diff_HgII_mean,Diff_HgII_std,Current_HgII_mean,Current_HgII_std,fr_HgII_mean,fr_HgII_std
0,0.119185379844512,0.0444040183209459,0.76861124713381,0.0570744828026552,1.15264069965912,0.067449882162663,11.5754495785424,4.64454466427215,8.76995573640554e-05,9.07634706444194e-05,0.150555559153178,0.0111797488051021,0.156419051383588,0.121262948087234,0.07924542835848,0.0540019538685263,0.0796878477968885,0.0751897815674096,0.00580733150699473,0.00251757192528499,0.00300210567447626,0.000711739411445057,0.0493365510269639,0.0389499725087381,0.126820304183739,0.0549786484523094,0.0591018594574283,0.0140118727409144
0.1,0.116650029084519,0.0440573543045084,0.766823564236361,0.0553237244107822,1.14974745145296,0.0652954596266637,11.3021240132844,4.55522509460801,8.18003681077618e-05,8.03078928079542e-05,0.150205387854986,0.0108368102784887,0.151226498975816,0.117383717860272,0.0765838873472552,0.053534648106677,0.0768697953650538,0.0715966319067288,0.00565161712733443,0.00246156238054025,0.00298635954271645,0.00071626461846849,0.0484610021547294,0.0380197466468688,0.123419818957346,0.0537555139553093,0.0587918684820343,0.0141009595947812
0.2,0.115337348838292,0.0429507322092808,0.766807936875187,0.0545106147463974,1.14804020765594,0.06293099087262,11.1394668802666,4.39342697115148,7.84808786301125e-05,7.34717911203766e-05,0.150202326767722,0.0106775383700554,0.148133658951457,0.113166215976154,0.0743762260430539,0.0526075163922717,0.0757667266371085,0.0691699829973117,0.0055538792197611,0.00237130504248356,0.00299203348361205,0.000695582742757892,0.0477859823697147,0.0368489668725065,0.121285421919085,0.0517844773348963,0.0589035702319869,0.0136937996063917
0.3,0.11345294983534,0.0423658556494985,0.766789779682595,0.0553740666204666,1.14577962889442,0.0608475199643665,10.918622931559,4.27382190717151,7.5607612481083e-05,6.86593983584974e-05,0.150198770137119,0.0108466713097399,0.14406186388222,0.109429447294434,0.0711419068993213,0.0520850622622082,0.074697834886119,0.0674673506453969,0.00542683415204758,0.0023013546058888,0.00298295832089954,0.000689594034525527,0.046559474081739,0.0357098453692315,0.118511016133387,0.0502569021248282,0.0587249093021774,0.0135759010942607
0.4,0.111503861658774,0.0417453416939547,0.768134951370753,0.0560077309305153,1.14348929778825,0.0589146285953787,10.7016961891491,4.14687141748311,7.34295187650049e-05,6.50719726194491e-05,0.150462262346507,0.0109707934649524,0.139936473177963,0.10596080598937,0.0674240873888645,0.0518372602017579,0.07405808341558,0.0661840231185247,0.00530214345853348,0.0022287696299059,0.00297374476035693,0.000678001484263067,0.0451687143293582,0.0346359625094974,0.115788025089859,0.0486717939349079,0.0585435237617145,0.0133476808546502
0.5,0.109503753359523,0.0410752875359573,0.770561508535389,0.0559952400356457,1.14120720331142,0.0572049690504968,10.4809867991381,4.02811792507038,7.17509185089176e-05,6.23115167113354e-05,0.150937576326235,0.0109683467486593,0.135835420176283,0.102878916101149,0.0634259641358774,0.0519524246983553,0.0737285918238455,0.065199937269076,0.00517637891898212,0.00216010747222886,0.00296110620113305,0.00067037792367976,0.0436819796522651,0.0338301550841388,0.113041583433787,0.0471723521151968,0.0582947109509781,0.0131975973282805
0.6,0.107279794203723,0.0404231034522864,0.772344775813446,0.0592000777960935,1.13884094993638,0.0555547317381087,10.2518837037802,3.92550094811019,7.04362116987779e-05,6.01667820836647e-05,0.151286882692969,0.0115961103194094,0.131573427905843,0.0999159466722592,0.0590092037632568,0.0521653314751109,0.0736547056624444,0.0645326338328711,0.0050474810242374,0.00209878296897742,0.00294309380118146,0.00067096446836387,0.0419946383270317,0.0331168292342331,0.110226715675596,0.045833149738529,0.0579401044028206,0.0132091445172354
0.7,0.104969346059443,0.0398742629508776,0.773278594506379,0.060884998277777,1.13637353439285,0.054123202071335,10.007364794164,3.84648162128037,6.91622055773652e-05,5.86553494790741e-05,0.15146979908404,0.0119261525171973,0.127129668225855,0.0973388479906543,0.0545845114593194,0.0522928815155404,0.0734213318485468,0.0642902336155618,0.00491232621241329,0.00204823371486422,0.00291670163144575,0.000681548713107959,0.0403513586829716,0.0324536370581687,0.107275209579072,0.044729256879102,0.0574205269876223,0.0134175144459313
0.8,0.102226559950133,0.0395139741772248,0.775898348317057,0.0649729441094179,1.13353942896935,0.052748659245492,9.7321962244578,3.77448138480364,6.80614701053447e-05,5.73076785841958e-05,0.151982956419795,0.0127268992832194,0.122043260184757,0.0948445584163789,0.0492706685758165,0.0531483604699639,0.0734187340371939,0.0640338614610481,0.00476130512273379,0.00200181355104299,0.0028838125842634,0.000692725489242041,0.0383003632367896,0.0321565954170705,0.103977216256623,0.0437155349503682,0.0567730468336802,0.0136375494226744
0.9,0.0999405206146704,0.0388008681685923,0.779195194240431,0.0697091662036701,1.1311615541754,0.0512319247743276,9.49972674553036,3.6831254942928,6.76692188390677e-05,5.62231507513069e-05,0.15262874254807,0.013654630393495,0.117759985868366,0.092115307141777,0.044075611469039,0.0541409909748076,0.0741267695126139,0.0639990190375801,0.00463297435085118,0.00194630688128177,0.00285823488103827,0.000697688175117423,0.0363514488418361,0.0320277280331364,0.10117473330784,0.04250338221983,0.0562695036592651,0.0137352488360001
