IceMultiplier,SalinityAnomaly,N,Hg0_water_median,Hg0_water_mean,HgII_water_median,HgII_water_mean,MLD_median,MLD_mean,AS_median,AS_mean,Net_median,Net_mean,Red_UVA_median,Red_UVA_mean,Ox_UVA_median,Ox_UVA_mean,SeaIce_median,SeaIce_mean,Salinity_median,Salinity_mean,n_ice0,n_open0,n_iceNew,n_openNew,n_shift
1,0,124,0.140630619478579,0.131828739252045,0.759073115504791,0.772603932035634,14.38490855,12.9698508712676,0.133724268925386,0.171068940339107,0.0751559978934641,0.0905301004720424,0.000903644050638556,0.00161097031234866,0.00662041511135787,0.0138096193191465,0.60659,0.492567016129032,29.8415,29.5296532258064,102,22,102,22,0
1,-0.3,124,0.131115722385994,0.124213362102682,0.761880407238465,0.76489801257242,13.32479855,12.032244730336,0.122150407438265,0.155696460662089,0.0700675669455985,0.0819538352981175,0.00093563072907021,0.00161364625343724,0.00656176255852516,0.0148440593233205,0.60659,0.492567016129032,29.5415,29.2296532258065,102,22,102,22,0
1,-0.6,124,0.121206747473674,0.116200879174374,0.768798082210425,0.764162379702447,12.26468855,11.1032825705386,0.110347816207338,0.140941219001464,0.064713019823881,0.0692798407167234,0.000965881296309271,0.00160508742424148,0.00678532951464176,0.0162995870487362,0.60659,0.492567016129032,29.2415,28.9296532258065,102,22,102,22,0
1,-1,124,0.108243847347015,0.104843419435344,0.761493043595808,0.771335303680824,10.85120855,9.87511822363533,0.0918945080440075,0.121389216178684,0.0485439068617271,0.0483753079113166,0.00100359990594125,0.00157711575548265,0.00771876916707194,0.0191287084940814,0.60659,0.492567016129032,28.8415,28.5296532258064,102,22,102,22,0
1,-1.5,118,0.0939109528084612,0.0928228663192189,0.752414666596125,0.78617429276361,9.34055179999999,8.68966485006908,0.0767690660236159,0.100058977588241,0.0196208058949933,0.0235883821343242,0.00101424730343537,0.00145154534481264,0.00920038263888897,0.0213940615581971,0.609,0.499037372881356,28.414,28.1196694915254,96,22,96,22,0
0.9,0,124,0.136277179561331,0.128419900699778,0.752880784955021,0.768140913800476,14.38490855,12.9698508712676,0.146401979253929,0.187614935202095,0.0891412841167835,0.101322486636342,0.00105751092507422,0.00171654922666929,0.00763356839838924,0.0146859808134514,0.545931,0.443310314516129,29.8415,29.5296532258064,102,22,102,22,0
0.9,-0.3,124,0.127569993954489,0.121046273819441,0.760336462549395,0.760246704574789,13.32479855,12.032244730336,0.137477525286809,0.170919006401766,0.0879274626276748,0.0925597798450583,0.00109628037407566,0.0017225371979986,0.00745614850654546,0.0157424178813421,0.545931,0.443310314516129,29.5415,29.2296532258065,102,22,102,22,0
0.9,-0.6,124,0.119126411384549,0.11332714582038,0.762129861594511,0.759990226272843,12.26468855,11.1032825705386,0.117059527008333,0.154977447585969,0.0818180941388533,0.0792757608577644,0.00113111768458112,0.00171694970400101,0.00792275519373705,0.0172588653457194,0.545931,0.443310314516129,29.2415,28.9296532258065,102,22,102,22,0
0.9,-1,124,0.10607150951086,0.102394616139243,0.753843761792555,0.76860636607098,10.85120855,9.87511822363533,0.0994358815371282,0.133825890866045,0.0612014543713182,0.0571665794357392,0.0011725011908176,0.00169245733230597,0.00906714828914928,0.0202357702153762,0.545931,0.443310314516129,28.8415,28.5296532258064,102,22,102,22,0
0.9,-1.5,118,0.0930926407143285,0.0907624664601227,0.754564763034612,0.78554853145179,9.34055179999999,8.68966485006908,0.0872576401101336,0.110946981401568,0.023805738462739,0.0309400766774938,0.0011911730281123,0.00156856986330485,0.0107667086612374,0.0226231643878099,0.5481,0.449133635593221,28.414,28.1196694915254,96,22,96,22,0
