RowID,Temperature,Salinity,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
1,-0.444,30.078,0.79559,9.798,0.16516589880278942,0.185,0.8022584359240985,1.1596233025943004,1.128,15.220628599999998,0.0001313383063803664,0.18875856369897706,0.17111277999637184,0.08113492735397476,0.09646116723882342,0.00775012603337407,0.0036092271087730427,0.09087592503773384,0.16924698371893798,0.07105413881536933,1.4297409372254976e-05,0.0004956473198301298,0.0002827024683827474,0.00016700117443230007,0.0033955147219143595,0.00035999999999999997,0.00046021332062307714,0.11443940886547418,0.00039339157030118994,0.004152513599999999,1.9834101197210574,0.185
2,-0.431,30.348,0.85288,11.359,0.1951543797272239,0.191,0.8563367960993242,1.1779224667356027,1.127,16.174727599999997,0.00024051519486630897,0.2014823359109994,0.2039545419371139,0.07756899687938057,0.13676653373066594,0.008309870810784582,0.003616161101056418,0.10359282463746686,0.1814706707688264,0.07119064694727659,1.06584972305918e-05,0.0004078830331922027,0.000252089097445349,0.0001244967888131129,0.00251401108246053,0.00035999999999999997,0.0004103776004924286,0.11199914092839319,1.7258870917968975e-05,0.0049617936,-0.4154379727223906,0.191
3,-0.509,30.42,0.76806,10.656,0.18559624613319317,0.175,0.8263922863747875,1.2106595063165395,1.123,16.42915400000001,0.00023186155020409648,0.19443687226341194,0.26270815779955226,0.12805995701534756,0.14409903421967266,0.008460609128017275,0.003613640543175034,0.13340170559993791,0.18476248891638167,0.07114102522378885,1.6191812298003873e-05,0.0006300300077989753,0.0003485231928218855,0.00018912878547084122,0.0037707854271994946,0.00035999999999999997,0.0005673633371519066,0.11134754436749714,0.00011228043211521147,0.0029637135999999987,-1.0596246133193183,0.175
4,-0.193,30.537,0.7542,9.941,0.19099239304407306,0.166,0.8145545725169216,1.2064117991742533,1.122,16.84259689999999,0.00021438788744911145,0.19165164774568358,0.255084739282523,0.1385995801465978,0.12684297407417464,0.00870688172512905,0.003605620600631443,0.13560665118025864,0.1901405813569831,0.07098313820432187,1.7281316488793468e-05,0.0006989572256045063,0.00037876272126562393,0.0002018547608327734,0.003984800367260076,0.00035999999999999997,0.0006165904764789227,0.11028794498865925,0.0006246197100694311,0.0020647936000000007,-2.4992393044073054,0.166
5,-0.552,30.549,0.70175,9.069,0.1867310132415232,0.181,0.7921774198169516,1.2016676767372758,1.116,16.8850013,0.00017733737380856362,0.18638666203262752,0.24657039739838865,0.1473499311925872,0.1091002951762568,0.008732233056634495,0.0036045233439319585,0.13133889218059147,0.1906942028557921,0.07096153672913297,2.0520837688038337e-05,0.0008347837465551545,0.00042637625896264474,0.00023969405260839243,0.0047352250186640755,0.00035999999999999997,0.0006941008866833751,0.11017921575387696,3.284451277451423e-05,0.003652993599999999,-0.5731013241523197,0.181
6,-0.471,30.502,0.71299,10.023,0.1844706331834831,0.16,0.8087622410930201,1.223091386474988,1.113,16.718917399999995,0.00022207247524545873,0.19028880491214611,0.2850198243591234,0.1551270526885815,0.13939733422779557,0.008633038747848206,0.0036085290211626524,0.14668057294660794,0.18852800097831693,0.07104039570293028,2.0129840260594292e-05,0.0007993403451931454,0.00041126868754974566,0.00023512699938336016,0.004624334250961471,0.00035999999999999997,0.0006695071657786557,0.11060501647036916,0.0005988118884005847,0.0015555136000000003,-2.447063318348311,0.16
7,-0.602,30.852,0.60418,9.532,0.21174775544803645,0.154,0.8332560705696169,1.2951537708077856,1.114,17.955712399999996,0.000399137172806838,0.19605181077716327,0.41435117812288963,0.23775135626884314,0.1903461521527527,0.009378063834944954,0.0035598805338673727,0.21641102785507058,0.20479783300983143,0.07008266257468398,2.6418459683255003e-05,0.0012144119898030862,0.0005549386001815155,0.0003085813435794566,0.006049790094337494,0.00035999999999999997,0.0009033884189001417,0.10743063447890763,0.003334803259286224,0.0011182336,-5.774775544803646,0.154
8,-0.658,30.693,0.4836,9.593,0.18428307989021192,0.134,0.799198223995363,1.3176678268200985,1.102,17.3938541,0.00031591300873436167,0.18803854483421154,0.4547574645612969,0.26604477699019613,0.19862966867559442,0.009037792863635558,0.0035873699412662962,0.2232569740385692,0.19736700733122542,0.07062384109030789,3.6160395831759954e-05,0.0015213453944858154,0.0006113095119769951,0.0004223722224502774,0.00811766318466232,0.00035999999999999997,0.000995155019497434,0.10887371407024507,0.0025283881232454337,0.0001806336000000002,-5.028307989021191,0.134
9,-0.471,30.442,0.58223,8.582,0.1663589531129398,0.138,0.7577977716649789,1.212826468602589,1.08,16.506895400000005,0.00014496904246473404,0.17829768133133078,0.26659723486249715,0.1683410373795512,0.10551595096255958,0.008506791769030641,0.0036125033982428788,0.1314401228059875,0.18577102383026928,0.07111863847686839,3.157521167374072e-05,0.0011762263024304622,0.0005078415211619867,0.0003688148877303569,0.006976300849977524,0.00035999999999999997,0.0008267187553799783,0.1111483745120454,0.0008042302216619173,0.0003041536000000004,-2.835895311293979,0.138
10,-0.37,30.138,0.63443,7.64,0.1491365862395378,0.153,0.7325108232317172,1.1552631566677156,1.103,15.432650600000002,7.44253787784748e-05,0.17234806727573718,0.1632875660444084,0.10686214926425008,0.061257680348885055,0.007873760011483147,0.0036130039138880595,0.07657021863089082,0.171946898248073,0.07112849202918309,2.977579019632596e-05,0.0009693731177781458,0.00042714835159518447,0.0003477967093874942,0.006491139256772726,0.00035999999999999997,0.0006953577816665794,0.1138975720750574,1.4925965884528702e-05,0.0010523535999999998,0.3863413760462203,0.153
11,-0.359,30.097,0.631,7.758,0.1465760824874732,0.169,0.7333615663121548,1.1567993807726402,1.118,15.287768900000003,7.59274868671025e-05,0.17254823349992307,0.16604464860577473,0.10697507383740068,0.0635689477500034,0.00778923019220312,0.0036105613335734323,0.07780360855758371,0.170100938984205,0.07108040543459852,3.0236204659097937e-05,0.0009682784770128084,0.0004232880208451577,0.00035317458967381704,0.006585932425120557,0.00035999999999999997,0.0006890735223060707,0.11426785504612275,0.0005028320766086068,0.002346433600000001,2.2423917512526814,0.169
12,-0.363,30.1,0.631,8.196,0.1469988471218941,0.165,0.7417611524873365,1.1675833610211181,1.107,15.298370000000006,8.972284474355644e-05,0.17452452162741014,0.18539880649841906,0.11503876884079545,0.07490914110202745,0.007795408481286221,0.0036107602886960607,0.08829962084293765,0.17023586024707943,0.07108432222466886,3.022007708849984e-05,0.0009689390991472591,0.00042371776342575983,0.0003529862112647993,0.006582938147793687,0.00035999999999999997,0.000689773103251237,0.11424076523884379,0.00032404150494094085,0.0019749136000000007,1.8001152878105913,0.165
13,-0.36,30.107,0.631,7.436,0.14705179776387267,0.16,0.7278222838242587,1.1498280754893204,1.116,15.323105900000002,6.731822084553967e-05,0.17124492902904676,0.15353315098964776,0.10191312820987886,0.056183927386827766,0.007809828676647923,0.0036112120955491826,0.07078277536637229,0.17055076797362426,0.07109321685664739,3.0163322819724866e-05,0.0009701156544960111,0.0004247277678061864,0.0003523232918999904,0.006573445030585079,0.00035999999999999997,0.0006914172964286755,0.11417755318662984,0.00016765594114765285,0.0015555136000000003,1.2948202236127333,0.16
