Scenario,N,d_Hg0_water_median,d_Hg0_water_mean,d_HgII_water_median,d_HgII_water_mean,d_MLD_median,d_MLD_mean,d_AS_median,d_AS_mean,d_Net_median,d_Net_mean,d_Diff_Hg0_median,d_Diff_Hg0_mean,d_Diff_HgII_median,d_Diff_HgII_mean,d_Current_Hg0_median,d_Current_Hg0_mean,d_Current_HgII_median,d_Current_HgII_mean,d_fr_Hg0_median,d_fr_Hg0_mean,d_fr_HgII_median,d_fr_HgII_mean,d_Red_UVB_median,d_Red_UVB_mean,d_Red_UVA_median,d_Red_UVA_mean,d_Red_Bio_median,d_Red_Bio_mean,d_Ox_UVB_median,d_Ox_UVB_mean,d_Ox_UVA_median,d_Ox_UVA_mean,d_Ox_Dark_median,d_Ox_Dark_mean,d_Ox_Bio_median,d_Ox_Bio_mean,d_Salinity_median,d_Salinity_mean,d_SeaIce_median,d_SeaIce_mean
IceOnly,124,-0.00259102794581101,-0.00327306598259252,-0.00249956295702053,-0.00430728805657195,0,0,0.0097606942676024,0.0158486076461257,0.007715990225153,0.0103419147384943,0.0016925392537062,0.00513661288343984,0.00161736624736825,0.00448799767922303,0,0,0,0,0,0,0,0,5.3603934677967e-06,5.13004526086986e-06,0.000112724179991014,0.000100933442090524,3.4145258198331e-05,3.01682171846663e-05,5.33145220837335e-05,5.4010968170168e-05,0.000922031628916085,0.00083780158855547,0,0,5.55853040437945e-05,4.91110512308522e-05,0,0,-0.0579900039999999,-0.0470894067419355
SalinityIce,124,-0.0343924067738329,-0.0345191267197711,-0.015183670834808,0.0120700347282458,-3.88707,-3.4788332221442,-0.0338124193028357,-0.0542179433122614,-0.0320058623543436,-0.05070794254109,-0.000970123125713595,-0.00685761582349338,-0.00394430936807925,-0.0206508756970691,-0.00215916567072057,-0.00193444035533322,-0.047151785086499,-0.0422442414374264,-0.00028610772199887,-0.0003412020425215,-0.0056325460222888,-0.00671717699184963,1.19486490509498e-05,2.29397407122358e-05,0.000213467636979792,-3.60311778801013e-05,-0.000126100693630015,-0.000119098206026624,0.000227042351334796,0.000481424917565068,0.00312881654763411,0.0089202779558473,0,0,-0.000205280198932583,-0.000193880800508457,-1.1,-1.20645161290322,-0.0579900039999999,-0.0470894067419355
SalinityOnly,124,-0.032334947114035,-0.0322637494786181,-0.00972706906047893,0.0142224687572594,-3.88707,-3.4788332221442,-0.0478744806007263,-0.0656974477719917,-0.0408555714102498,-0.0587498269955141,-0.0034507506005423,-0.0100917467581791,-0.00588659842340496,-0.0236234460205036,-0.00215916567072057,-0.00193444035533322,-0.047151785086499,-0.0422442414374264,-0.00028610772199887,-0.0003412020425215,-0.0056325460222888,-0.00671717699184963,5.08769460609284e-06,1.64598053989783e-05,8.9201952366734e-05,-0.000146454934859355,-0.000144507220860004,-0.000138719333413707,0.00013662849178102,0.000404376254718026,0.00181590973490574,0.00780507707153633,0,0,-0.000235244313027912,-0.000225822170673475,-1.1,-1.20645161290322,0,0
