Scenario,RowID,Regime0,RegimeNew,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
SalinityIce,1,ice,ice,-0.405,28.054,26.954,0.432,0.3907008,3.92,0.0411335179589779,0.061,0.678440715875912,1.06749450256495,1.148,4.18134979999999,1.05794527557741e-05,0.132892956890596,0.00371206694456967,-0.0134118305308017,0.0150252657103769,0.00190794981069101,0.0016474811105798,0.0128073315207998,0.0416657418416186,0.0324336341269006,0.000301981832853882,0.00285977697762761,0.000104864659051769,0.00420320640035305,0.0529050273056953,0.00036,0.000170709910084276,0.142231275088126,0.000394677108686254,0.0035473936,1.98664820410221,0.061
SalinityIce,2,ice,ice,-0.386,28.408,27.308,0.218,0.1971592,4.21,0.0557059173048062,0.071,0.750372892605774,1.07586727410573,1.139,5.4322796,1.25393245560619e-05,0.146983030551441,0.0197572206826322,0.000834967128815589,0.0167984213728847,0.00251130366520421,0.00204378648447234,0.0107175926720051,0.0548417624059059,0.0402356194830979,0.000323371961322818,0.00368378127152504,0.000161313108602621,0.00437988534815622,0.0532488821612086,0.00036,0.0002626027349345,0.139130319710612,0.000233908965487427,0.0024561936,1.52940826951938,0.071
SalinityIce,3,open,open,-0.458,28.775,27.075,0.1244,0.11250736,5.671,0.0541794904642425,0.066,0.836579984525577,1.08455457622775,1.05,5.37923886846525,3.09963534880831e-05,0.163869274378024,0.0357938835666926,-0.00819886807981351,0.041786150022648,0.00246556534081022,0.00208677178975582,0.0132735648702767,0.0538429304629535,0.0410818626694047,0.000345863590342596,0.00367235326236445,0.000156446422457517,0.00478158746036164,0.0622126264783807,0.00036,0.00025468022260526,0.141172996580919,0.000139724445684935,0.0029767936,1.18205095357575,0.066
SalinityIce,4,open,open,-0.394,28.596,26.896,0.0918,0.08302392,8.036,0.0551456277684827,0.061,0.922606789405788,1.10670943309317,1.023,6.39819006799544,7.25693833103681e-05,0.180720203582091,0.0757106536457608,-0.0244280101939728,0.0974430521868455,0.00291321176175554,0.00253956719262142,0.000191089359449738,0.0636186174893733,0.0499959560308254,0.00029937550283297,0.00309906950277998,0.00017848882486355,0.0041760419836663,0.0598061533796631,0.00036,0.000290563203266244,0.142737923661304,3.42736742251613e-05,0.0035473936,0.585437223151734,0.061
SalinityIce,5,ice,ice,-0.378,27.905,26.805,0.2245,0.2030378,8.499,0.0582569275261414,0.078,0.955599853283186,1.11245631542669,1.042,3.65482849999999,0.000136195778685797,0.187182884422063,0.0853931436466231,-0.0964061485515124,0.180534926498498,0.00165847922500401,0.00146737498108799,-0.0218719472985794,0.0362178118373449,0.0288879204489491,0.000414787525573206,0.00362246542709663,9.78122105263416e-05,0.00579962058327544,0.0749062420664809,0.00036,0.000159229179926603,0.143532005922695,0.000389788910708035,0.0018113536,1.97430724738586,0.078
SalinityIce,6,ice,ice,-0.457,27.869,26.769,0.2329,0.21063476,7.794,0.0552268775023827,0.084,0.940838050330465,1.09944453107204,1.128,3.52761529999999,0.000107486198679305,0.184291342688913,0.062000739464879,-0.0835816498751614,0.144279566182685,0.00159860286344557,0.00142267756383701,-0.00941165632516789,0.0349102339287804,0.0280079712536436,0.000417374734675125,0.00356696749467042,9.32165695520561e-05,0.00583899383943004,0.0758755811722448,0.00036,0.000151747903921952,0.143845864275761,0.000827892578262894,0.0013366336,2.87731224976173,0.084
SalinityIce,7,ice,ice,-0.44,27.682,26.582,0.2792,0.25250848,9.128,0.0599865248238737,0.088,0.992842349322125,1.11979067795546,1.215,2.86681339999998,0.000198532486005528,0.194477943967849,0.0982959079743619,-0.163838489416067,0.261267052537197,0.00129007304386404,0.00118309931200117,-0.0684619724334341,0.0281725704215472,0.0232914416892642,0.000451185131141215,0.00334719875500689,7.13418586302707e-05,0.00630518319763051,0.0832603280210629,0.00036,0.000116137909398115,0.145473535753635,0.000784754791443445,0.0010601536,2.80134751761263,0.088
SalinityIce,8,ice,ice,-0.418,27.641,26.541,0.6001,0.54273044,5.549,0.0410073354049826,0.089,0.770620038017312,1.06888109299649,1.23,2.72193169999998,3.7595793359734e-05,0.150949041080245,0.00540061252096519,-0.0493135445664948,0.0534209369495025,0.00122298667931368,0.00112891262182677,0.0283679311963556,0.0267075407175239,0.0222246790584953,0.000287572974493704,0.00206923967077022,5.47120926802796e-05,0.00401396469503356,0.0533894767442883,0.00036,8.90661973865017e-05,0.145829800106112,0.00230329585492983,0.0009960336,4.79926645950174,0.089
SalinityIce,9,ice,ice,-0.443,27.643,26.543,0.5022,0.45418968,4.723,0.0361040412131491,0.109,0.727019536752181,1.06594190326559,1.206,2.7289991,2.47785019737125e-05,0.142408575569483,0.000591514017409741,-0.0367127821709644,0.0358802419948967,0.00122625451882881,0.00113156971640279,0.0240414294179405,0.0267789036836012,0.0222769887528316,0.000338904099294933,0.00244409915773728,5.93415928078401e-05,0.00473076339518993,0.0629476961385131,0.00036,9.66025929429956e-05,0.145812426485064,0.00531382080745426,0.0001336336,7.28959587868508,0.109
SalinityIce,10,ice,ice,-0.403,27.816,26.716,0.353,0.3192532,3.978,0.0365508592583476,0.11,0.702642024824917,1.06571665485883,1.209,3.34032919999999,1.38388502147097e-05,0.137633508911717,0.000897299929009406,-0.0208821773515505,0.0200050088210517,0.0015107337311285,0.00135603598328677,0.0150961838829701,0.0329913508625408,0.0266960116643501,0.000366432773125906,0.00303979267388369,8.24539697771206e-05,0.00512828398199311,0.0674823238701578,0.00036,0.000134227392660429,0.144307636762362,0.00539477627568706,0.0001115136,7.34491407416524,0.11
