Scenario,N,R2_reg,R2_corr,r,RMSE,Slope,Intercept,PBIAS_percent,MeanBias
Control,124,0.694068613433697,0.694068613433696,0.833107804208853,0.0215968602107851,0.895046461149145,0.0126937244031203,0.958717556779432,-0.00127609945763262
SalinityOnly,124,0.676996251861779,0.67699625186178,0.82279781955337,0.0400117700526007,0.860826757720179,-0.0150152169698923,25.1980688766742,-0.0335398489362507
IceOnly,124,0.678779854590584,0.678779854590584,0.823880971130286,0.0216783614627412,0.82321421015725,0.018981878602957,3.41773107899373,-0.00454916544022513
SalinityIce,124,0.662788827165378,0.662788827165378,0.814118435588691,0.0418374200073609,0.804421698299227,-0.00976280787440969,26.8925055801155,-0.0357952261774037
